Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Dataset Peak Memory (MB)
gemma-4-E2B-it-Q5_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",33.79280791799829,6.295325710750331,"8.426, 8.420, 27.155, 9.686, 3.017, 5.476, 8.358, 2.821, 4.399, 7.404, 4.653, 3.198, 6.213, 3.558, 4.147, 4.912, 3.887, 2.966, 3.188, 4.023",25.799917163147438,5.121208542809779,"5.30, 4.06, 4.93, 5.14, 5.28, 5.06, 4.97, 5.27, 5.27, 5.27, 5.28, 5.29, 5.10, 5.28, 5.08, 5.06, 5.25, 5.27, 5.26, 5.01",2330.03515625
gemma-4-E2B-it-Q5_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,3.8418201245985983,"4.010, 3.440, 4.359, 3.590, 4.325, 7.359, 4.483, 6.300, 6.716, 2.394, 2.318, 2.496, 3.507, 2.589, 1.816, 2.247, 4.487, 3.159, 3.672, 3.571",28.29653194956627,5.281242590398901,"5.28, 5.29, 5.29, 5.29, 5.30, 5.29, 5.29, 5.29, 5.29, 5.28, 5.29, 5.29, 5.27, 5.30, 5.27, 5.27, 5.26, 5.24, 5.28, 5.27",2383.7578125
gemma-4-E2B-it-Q5_K_M.gguf,GSM8K,1958,97.9,"101, 63, 94, 71, 148, 91, 77, 106, 141, 96, 97, 98, 103, 96, 94, 131, 90, 95, 64, 102",-,3.3842216482524234,"5.078, 2.148, 3.002, 1.989, 4.564, 2.642, 4.143, 4.036, 7.350, 2.824, 3.140, 3.688, 3.055, 2.862, 2.777, 3.936, 2.896, 2.802, 1.780, 2.969",30.411987593031363,5.230613930158894,"5.07, 5.29, 4.95, 5.29, 5.26, 5.24, 5.28, 5.25, 5.22, 5.26, 5.12, 5.18, 5.23, 5.22, 5.44, 5.23, 5.31, 5.26, 5.30, 5.23",2420.671875
gemma-4-E2B-it-Q5_K_M.gguf,HumanEval,2659,132.95,"158, 148, 111, 150, 146, 126, 145, 126, 147, 131, 178, 112, 133, 99, 86, 101, 98, 207, 121, 136",-,4.294523983899126,"5.007, 6.639, 3.164, 4.429, 4.069, 5.056, 4.438, 3.427, 4.148, 3.502, 9.559, 3.108, 3.642, 2.771, 3.987, 2.770, 2.564, 6.308, 3.427, 3.877",32.61302661489144,5.251407009783173,"5.26, 5.21, 5.27, 5.28, 5.26, 5.29, 5.25, 5.31, 5.28, 5.26, 5.24, 5.27, 5.28, 5.28, 5.31, 5.29, 5.34, 5.07, 5.25, 5.01",2441.5859375
gemma-4-E2B-it-Q4_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",3.0644171660096617,4.67294796510032,"5.222, 5.584, 8.393, 8.603, 2.818, 4.243, 9.448, 2.544, 3.023, 7.454, 4.275, 2.428, 8.508, 3.359, 3.418, 3.737, 2.473, 2.469, 2.424, 3.036",31.975385968596335,7.753354105154692,"8.05, 7.37, 7.01, 7.57, 8.06, 7.64, 7.42, 8.02, 7.72, 8.07, 8.04, 7.53, 7.88, 8.09, 7.52, 7.72, 8.05, 7.80, 8.10, 7.40",3254.984375
gemma-4-E2B-it-Q4_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,3.7177388219482963,"5.728, 4.299, 4.859, 3.831, 3.843, 5.473, 6.202, 4.244, 4.309, 1.882, 1.942, 2.192, 2.871, 2.899, 1.885, 1.788, 4.291, 4.703, 3.276, 3.839",29.562718235272012,7.993156249640121,"8.08, 8.00, 8.09, 8.11, 7.70, 8.09, 7.68, 8.13, 8.07, 8.09, 8.12, 8.09, 7.67, 8.09, 8.09, 7.79, 7.74, 8.05, 8.06, 8.13",3181.47265625
gemma-4-E2B-it-Q4_K_M.gguf,GSM8K,1958,97.9,"101, 63, 94, 71, 148, 91, 77, 106, 141, 96, 97, 98, 103, 96, 94, 131, 90, 95, 64, 102",-,3.0828640599007486,"2.881, 1.612, 3.663, 1.592, 3.662, 2.748, 2.489, 4.818, 3.953, 5.823, 2.305, 4.497, 2.930, 2.390, 2.177, 3.165, 3.672, 2.224, 2.672, 2.386",34.03694136831441,7.906073371920348,"7.92, 7.97, 7.96, 7.97, 7.64, 7.31, 8.07, 7.59, 7.95, 8.05, 7.56, 7.90, 7.93, 7.93, 8.26, 7.93, 8.06, 8.05, 8.11, 7.95",3204.7734375
gemma-4-E2B-it-Q4_K_M.gguf,HumanEval,2659,132.95,"158, 148, 111, 150, 146, 126, 145, 126, 147, 131, 178, 112, 133, 99, 86, 101, 98, 207, 121, 136",-,3.6244538058010223,"3.972, 5.281, 2.513, 3.533, 4.281, 2.981, 3.484, 2.705, 3.314, 2.795, 9.041, 2.904, 2.921, 4.172, 2.399, 2.219, 2.303, 5.458, 2.769, 3.445",39.13876757626516,7.871475326154656,"7.29, 7.91, 8.10, 8.07, 7.97, 8.06, 8.01, 8.15, 8.06, 7.50, 7.25, 7.87, 8.00, 8.15, 7.29, 8.15, 8.03, 7.90, 8.02, 7.66",3217.83203125
gemma-4-E2B-it-Q3_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",3.1465233150083805,7.709563986097055,"6.379, 11.560, 13.199, 14.315, 4.374, 7.501, 10.682, 4.486, 6.332, 11.446, 7.591, 4.689, 10.257, 4.791, 6.694, 9.061, 4.976, 4.532, 4.656, 6.671",18.185733967789425,5.511337733186127,"5.60, 5.28, 5.56, 5.50, 5.60, 5.53, 5.19, 5.59, 5.56, 5.59, 5.61, 5.61, 5.49, 5.58, 5.55, 5.43, 5.60, 5.58, 5.61, 5.16",2510.390625
gemma-4-E2B-it-Q3_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,6.486110703151644,"7.211, 5.035, 5.781, 10.005, 7.517, 11.026, 6.926, 5.571, 11.303, 5.061, 4.078, 5.334, 7.671, 4.815, 3.052, 3.612, 6.181, 6.586, 7.905, 5.052",16.505982719387365,5.581025217783354,"5.59, 5.59, 5.54, 5.59, 5.60, 5.52, 5.60, 5.58, 5.53, 5.61, 5.60, 5.59, 5.59, 5.58, 5.59, 5.60, 5.59, 5.60, 5.61, 5.52",2010.625
