Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Dataset Peak Memory (MB)
gemma-4-E2B-it-Q5_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",1.349145813001087,4.375581410549785,"3.152, 5.716, 7.386, 8.551, 2.536, 4.589, 5.846, 2.888, 3.157, 6.482, 3.576, 3.034, 6.217, 2.562, 4.332, 4.625, 3.246, 2.696, 2.989, 3.932",31.662980704812874,5.155671121352456,"5.32, 5.28, 5.27, 5.20, 5.30, 5.12, 5.21, 5.10, 5.09, 5.11, 5.10, 5.09, 5.05, 5.10, 5.08, 5.12, 5.13, 5.12, 5.13, 5.21",5073.765625
gemma-4-E2B-it-Q5_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,3.1471284111503337,"2.710, 3.282, 2.882, 3.553, 4.422, 4.185, 4.062, 3.085, 3.908, 2.126, 2.412, 2.616, 3.042, 2.695, 1.802, 2.301, 3.834, 3.240, 3.799, 2.988",32.313564546875554,5.210475906118697,"5.33, 5.32, 5.30, 5.31, 5.31, 5.31, 5.32, 5.31, 5.13, 5.29, 5.14, 5.13, 5.11, 5.13, 5.10, 5.09, 5.15, 5.13, 5.15, 5.16",5134.359375
gemma-4-E2B-it-Q5_K_M.gguf,GSM8K,1958,97.9,"101, 63, 94, 71, 148, 91, 77, 106, 141, 96, 97, 98, 103, 96, 94, 131, 90, 95, 64, 102",-,3.0153227846487427,"3.185, 1.797, 2.832, 2.078, 4.765, 2.766, 2.360, 3.244, 4.569, 2.974, 3.042, 2.986, 3.179, 2.975, 2.831, 4.148, 2.692, 2.909, 1.863, 3.111",32.695988020156435,5.142883259073635,"5.17, 5.18, 5.15, 5.16, 5.13, 5.14, 5.16, 5.13, 5.11, 5.13, 5.13, 5.05, 5.13, 5.12, 5.30, 5.14, 5.18, 5.15, 5.14, 5.07",5170.359375
gemma-4-E2B-it-Q5_K_M.gguf,HumanEval,2659,132.95,"158, 148, 111, 150, 146, 126, 145, 126, 147, 131, 178, 112, 133, 99, 86, 101, 98, 207, 121, 136",-,3.946836310998333,"5.190, 4.245, 3.310, 4.621, 4.281, 3.582, 4.211, 3.581, 4.349, 3.660, 5.614, 3.244, 3.810, 2.899, 2.415, 2.900, 2.699, 6.649, 3.594, 4.084",33.99719788957408,5.1247754410944575,"5.13, 5.05, 5.11, 5.12, 5.11, 5.12, 5.07, 5.15, 5.12, 5.11, 5.11, 5.11, 5.12, 5.14, 5.14, 5.14, 5.17, 5.16, 5.12, 5.21",5170.359375
gemma-4-E2B-it-Q4_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",1.2557436670031166,3.784614505997888,"2.733, 4.974, 6.443, 7.435, 2.180, 3.971, 5.069, 2.488, 2.725, 5.632, 3.088, 2.609, 5.361, 2.206, 3.735, 3.969, 2.776, 2.321, 2.575, 3.401",36.66169557696475,6.1562044304789785,"6.27, 6.22, 6.19, 5.97, 6.25, 6.04, 6.17, 6.23, 6.26, 6.24, 6.23, 6.04, 6.00, 6.28, 6.01, 6.05, 6.28, 6.07, 6.28, 6.07",4597.71875
gemma-4-E2B-it-Q4_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,2.713393120848923,"2.363, 2.827, 2.489, 3.064, 3.818, 3.643, 3.525, 2.683, 3.370, 1.848, 2.084, 2.233, 2.597, 2.325, 1.535, 1.947, 3.282, 2.798, 3.255, 2.579",37.499470310915825,6.2597524123987265,"6.26, 6.23, 6.27, 6.26, 6.25, 6.28, 6.25, 6.27, 6.27, 6.27, 6.26, 6.26, 6.25, 6.27, 6.27, 6.25, 6.23, 6.25, 6.27, 6.27",4658.328125
gemma-4-E2B-it-Q4_K_M.gguf,GSM8K,1958,97.9,"101, 63, 94, 71, 148, 91, 77, 106, 141, 96, 97, 98, 103, 96, 94, 131, 90, 95, 64, 102",-,2.5870037788015905,"2.747, 1.532, 2.444, 1.774, 4.095, 2.374, 2.000, 2.799, 3.917, 2.540, 2.591, 2.575, 2.726, 2.537, 2.440, 3.565, 2.328, 2.489, 1.579, 2.686",38.1352512321194,6.190666903962953,"6.28, 6.31, 6.03, 6.06, 5.98, 6.04, 6.08, 6.08, 6.13, 6.22, 6.23, 6.15, 6.23, 6.23, 6.45, 6.23, 6.31, 6.27, 6.30, 6.19",4694.328125
gemma-4-E2B-it-Q4_K_M.gguf,HumanEval,2659,132.95,"158, 148, 111, 150, 146, 126, 145, 126, 147, 131, 178, 112, 133, 99, 86, 101, 98, 207, 121, 136",-,3.3928473237487196,"4.529, 3.683, 2.825, 3.970, 3.665, 3.060, 3.613, 3.060, 3.731, 3.134, 4.827, 2.801, 3.285, 2.469, 2.055, 2.488, 2.324, 5.724, 3.089, 3.524",39.58185366894554,6.272735294589458,"6.25, 6.24, 6.28, 6.28, 6.25, 6.28, 6.23, 6.32, 6.27, 6.26, 6.21, 6.25, 6.29, 6.32, 6.32, 6.31, 6.36, 6.23, 6.26, 6.25",4694.328125
gemma-4-E2B-it-Q3_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",1.1241998650075402,6.967036355151504,"5.000, 9.221, 11.919, 13.668, 3.948, 7.296, 9.346, 4.567, 5.009, 10.405, 5.685, 4.791, 9.874, 4.054, 6.866, 7.315, 5.072, 4.286, 4.733, 6.286",19.936613962707327,7.240952017754303,"7.49, 7.41, 7.34, 7.20, 7.43, 7.23, 7.31, 7.02, 7.21, 7.23, 7.23, 7.21, 7.16, 7.17, 7.20, 7.24, 7.19, 7.17, 7.18, 7.20",3114.03125
gemma-4-E2B-it-Q3_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,4.956617638600437,"4.201, 5.118, 4.549, 5.566, 7.019, 6.750, 6.504, 4.936, 6.169, 3.371, 3.823, 4.009, 4.683, 4.264, 2.774, 3.507, 6.056, 5.151, 5.955, 4.727",20.559244857106727,7.4497212217476845,"7.41, 7.37, 7.40, 7.42, 7.42, 7.50, 7.49, 7.46, 7.48, 7.50, 7.48, 7.41, 7.46, 7.48, 7.47, 7.47, 7.48, 7.47, 7.46, 7.34",3174.921875
