Model,Dataset,Max_Tokens,Runs,Model_Load_Time (s),Cold_Start_TTFT (s),TTFT_Mean (s),TTFT_Std (s),Prefill_TPS_Mean,Prefill_TPS_Std,Decode_TPS_Mean,Decode_TPS_Std,Max_Peak_Mem (MB)
gemma-3-1b-it-Q5_K_M.gguf,MMLU,128,3,1.83,0.3814,2.2857,0.0006,57.7095,0.0234,12.7435,0.0031,1759.7
gemma-3-1b-it-Q5_K_M.gguf,ARC,128,3,1.83,0.3814,1.6263,0.0007,61.1569,0.0242,12.6898,0.0038,1778.1
gemma-3-1b-it-Q5_K_M.gguf,HellaSwag,128,3,1.83,0.3814,2.3252,0.0005,57.9943,0.013,12.678,0.0073,1784.2
gemma-3-1b-it-Q5_K_M.gguf,TruthfulQA,128,3,1.83,0.3814,0.4869,0.0007,93.5148,0.1429,12.7825,0.002,1790.0
gemma-3-1b-it-Q5_K_M.gguf,GSM8K,128,3,1.83,0.3814,1.8227,0.0008,59.9378,0.0314,12.8806,0.0031,1793.0
gemma-3-1b-it-Q5_K_M.gguf,MMLU,256,3,1.83,0.3814,2.2852,0.0004,57.7316,0.005,12.7125,0.0021,1799.2
gemma-3-1b-it-Q5_K_M.gguf,ARC,256,3,1.83,0.3814,1.6249,0.0006,61.206,0.0235,12.6961,0.0046,1802.0
gemma-3-1b-it-Q5_K_M.gguf,HellaSwag,256,3,1.83,0.3814,2.3224,0.0003,58.0692,0.0097,12.6959,0.0028,1808.1
gemma-3-1b-it-Q5_K_M.gguf,TruthfulQA,256,3,1.83,0.3814,0.4869,0.0003,93.5546,0.0465,12.7859,0.0035,1811.2
gemma-3-1b-it-Q5_K_M.gguf,GSM8K,256,3,1.83,0.3814,1.8229,0.0011,59.9422,0.0272,12.75,0.0077,1817.1
gemma-3-1b-it-Q5_K_M.gguf,MMLU,512,3,1.83,0.3814,2.299,0.0183,57.486,0.3178,12.662,0.012,1820.2
gemma-3-1b-it-Q5_K_M.gguf,ARC,512,3,1.83,0.3814,1.6247,0.0001,61.222,0.0074,12.6999,0.0004,1825.7
gemma-3-1b-it-Q5_K_M.gguf,HellaSwag,512,3,1.83,0.3814,2.3219,0.0003,58.0793,0.0068,12.701,0.0013,1828.8
gemma-3-1b-it-Q5_K_M.gguf,TruthfulQA,512,3,1.83,0.3814,0.4866,0.0002,93.5836,0.0383,12.7845,0.0025,1834.9
gemma-3-1b-it-Q5_K_M.gguf,GSM8K,512,3,1.83,0.3814,1.822,0.0004,59.9629,0.0155,12.7027,0.0032,1837.7
gemma-3-1b-it-Q4_K_M.gguf,MMLU,128,3,1.86,0.3262,1.912,0.0006,68.9584,0.0296,14.5652,0.0021,1699.5
gemma-3-1b-it-Q4_K_M.gguf,ARC,128,3,1.86,0.3262,1.36,0.0005,73.1188,0.0292,14.4728,0.0042,1717.9
gemma-3-1b-it-Q4_K_M.gguf,HellaSwag,128,3,1.86,0.3262,1.9423,0.0003,69.4199,0.0129,14.4509,0.0075,1723.9
gemma-3-1b-it-Q4_K_M.gguf,TruthfulQA,128,3,1.86,0.3262,0.4104,0.0008,110.9072,0.2185,14.6041,0.0047,1729.8
gemma-3-1b-it-Q4_K_M.gguf,GSM8K,128,3,1.86,0.3262,1.5266,0.0017,71.5571,0.07,14.7025,0.0081,1732.8
gemma-3-1b-it-Q4_K_M.gguf,MMLU,256,3,1.86,0.3262,1.9117,0.0008,68.972,0.0325,14.5208,0.0033,1738.9
gemma-3-1b-it-Q4_K_M.gguf,ARC,256,3,1.86,0.3262,1.3605,0.0002,73.0865,0.0127,14.4923,0.0064,1742.0
gemma-3-1b-it-Q4_K_M.gguf,HellaSwag,256,3,1.86,0.3262,1.9429,0.0002,69.3983,0.007,14.4738,0.0036,1747.8
gemma-3-1b-it-Q4_K_M.gguf,TruthfulQA,256,3,1.86,0.3262,0.4106,0.0004,110.8798,0.1032,14.6122,0.0014,1750.9
gemma-3-1b-it-Q4_K_M.gguf,GSM8K,256,3,1.86,0.3262,1.5253,0.0009,71.6089,0.0513,14.5622,0.0013,1757.0
gemma-3-1b-it-Q4_K_M.gguf,MMLU,512,3,1.86,0.3262,1.9121,0.0004,68.9573,0.0255,14.4493,0.0039,1759.8
gemma-3-1b-it-Q4_K_M.gguf,ARC,512,3,1.86,0.3262,1.3605,0.0001,73.0821,0.0096,14.4882,0.0062,1765.9
gemma-3-1b-it-Q4_K_M.gguf,HellaSwag,512,3,1.86,0.3262,1.9432,0.0004,69.3928,0.0177,14.4708,0.0061,1768.9
gemma-3-1b-it-Q4_K_M.gguf,TruthfulQA,512,3,1.86,0.3262,0.4104,0.0004,110.9216,0.0909,14.6083,0.0004,1774.8
gemma-3-1b-it-Q4_K_M.gguf,GSM8K,512,3,1.86,0.3262,1.526,0.0005,71.5759,0.0331,14.4868,0.0063,1777.9
gemma-3-1b-it-Q3_K_M.gguf,MMLU,128,3,6.32,0.1537,0.7652,0.0005,171.5161,0.1417,21.6061,0.0157,1814.5
gemma-3-1b-it-Q3_K_M.gguf,ARC,128,3,6.32,0.1537,0.5498,0.0008,180.2151,0.2875,21.4486,0.0293,1832.9
gemma-3-1b-it-Q3_K_M.gguf,HellaSwag,128,3,6.32,0.1537,0.7771,0.0006,173.2622,0.1753,21.4,0.027,1839.0
gemma-3-1b-it-Q3_K_M.gguf,TruthfulQA,128,3,6.32,0.1537,0.1796,0.0005,252.9,0.6366,21.7836,0.0035,1844.9
gemma-3-1b-it-Q3_K_M.gguf,GSM8K,128,3,6.32,0.1537,0.6146,0.0007,177.2849,0.2195,21.931,0.0092,1855.7
gemma-3-1b-it-Q3_K_M.gguf,MMLU,256,3,6.32,0.1537,0.7641,0.0005,171.7261,0.131,21.5089,0.0081,1861.6
gemma-3-1b-it-Q3_K_M.gguf,ARC,256,3,6.32,0.1537,0.5494,0.0002,180.3662,0.0647,21.4845,0.0031,1864.7
gemma-3-1b-it-Q3_K_M.gguf,HellaSwag,256,3,6.32,0.1537,0.7763,0.0005,173.4612,0.1109,21.3701,0.0378,1870.7
gemma-3-1b-it-Q3_K_M.gguf,TruthfulQA,256,3,6.32,0.1537,0.1811,0.0018,251.3243,1.8978,21.7816,0.0061,1873.7
gemma-3-1b-it-Q3_K_M.gguf,GSM8K,256,3,6.32,0.1537,0.6136,0.0003,177.572,0.0915,21.6445,0.0074,1886.9
gemma-3-1b-it-Q3_K_M.gguf,MMLU,512,3,6.32,0.1537,0.7625,0.0001,172.0466,0.0643,21.4057,0.0102,1890.0
gemma-3-1b-it-Q3_K_M.gguf,ARC,512,3,6.32,0.1537,0.5486,0.0002,180.6266,0.0669,21.5068,0.0091,1896.8
gemma-3-1b-it-Q3_K_M.gguf,HellaSwag,512,3,6.32,0.1537,0.7746,0.0007,173.8769,0.1574,21.4405,0.033,1899.9
gemma-3-1b-it-Q3_K_M.gguf,TruthfulQA,512,3,6.32,0.1537,0.1785,0.0008,254.5247,0.8411,21.8326,0.0081,1905.8
gemma-3-1b-it-Q3_K_M.gguf,GSM8K,512,3,6.32,0.1537,0.6141,0.0011,177.4217,0.3291,21.5387,0.0026,1914.3
