Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Dataset Peak Memory (MB)
llama3.2-3b-q5_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",1.0532981589931296,5.044642016597936,"3.706, 6.684, 8.188, 9.697, 2.796, 5.438, 7.000, 3.213, 3.457, 7.524, 4.294, 3.507, 7.040, 3.141, 4.874, 5.355, 3.461, 3.196, 3.665, 4.657",30.98354680774478,4.392593057162964,"4.38, 4.40, 4.40, 4.40, 4.38, 4.41, 4.41, 4.40, 4.36, 4.39, 4.38, 4.38, 4.41, 4.40, 4.41, 4.37, 4.39, 4.39, 4.39, 4.41",4876.71875
llama3.2-3b-q5_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,3.714336154099146,"3.374, 3.889, 3.556, 4.319, 5.172, 5.214, 5.158, 3.536, 4.516, 2.673, 3.179, 2.795, 3.337, 3.200, 2.050, 2.052, 4.393, 3.848, 4.516, 3.510",32.59132434021753,4.389885495551118,"4.39, 4.39, 4.39, 4.39, 4.40, 4.39, 4.37, 4.40, 4.41, 4.41, 4.38, 4.37, 4.39, 4.38, 4.40, 4.38, 4.39, 4.39, 4.38, 4.39",4906.640625
llama3.2-3b-q5_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,3.520438974897843,"3.570, 2.192, 3.072, 2.514, 5.434, 3.356, 2.755, 3.766, 5.296, 3.474, 3.578, 3.631, 3.917, 3.475, 3.133, 4.916, 3.243, 3.197, 2.184, 3.708",32.77259097936529,4.25003829936227,"4.41, 4.41, 4.38, 4.41, 4.25, 4.25, 4.22, 4.19, 4.15, 4.21, 4.21, 4.21, 4.21, 4.20, 4.22, 4.18, 4.21, 4.21, 4.24, 4.23",4925.71875
llama3.2-3b-q5_k_m.gguf,HumanEval,2814,140.7,"164, 155, 125, 159, 157, 132, 152, 133, 150, 140, 182, 116, 142, 110, 99, 108, 110, 207, 128, 145",-,4.324934441701771,"5.545, 4.708, 3.807, 5.109, 4.921, 3.810, 4.640, 3.915, 4.638, 3.930, 6.264, 3.373, 4.301, 3.244, 2.586, 3.033, 3.035, 7.130, 3.867, 4.642",33.078438431373016,4.162843802733514,"4.18, 4.14, 4.18, 4.17, 4.17, 4.16, 4.16, 4.19, 4.17, 4.16, 4.12, 4.19, 4.18, 4.18, 4.19, 4.17, 4.22, 4.09, 4.14, 4.11",4925.71875
llama3.2-3b-q4_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",0.8706988140038447,4.169184661147301,"3.061, 5.570, 6.799, 7.916, 2.312, 4.487, 5.789, 2.649, 2.851, 6.234, 3.535, 2.897, 5.816, 2.584, 4.071, 4.431, 2.848, 2.647, 3.028, 3.857",37.491252677060984,5.094942327360409,"5.10, 5.04, 5.12, 5.11, 5.03, 5.12, 5.11, 5.09, 5.09, 5.11, 5.11, 5.08, 5.12, 5.05, 5.12, 5.10, 5.10, 5.08, 5.10, 5.12",4299.25
llama3.2-3b-q4_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,3.087230868901679,"2.795, 3.213, 2.934, 3.566, 4.257, 4.302, 4.254, 2.928, 3.735, 2.216, 2.650, 2.302, 2.777, 2.659, 1.732, 1.733, 3.692, 3.243, 3.802, 2.955",39.16246519782467,5.012705462135784,"5.10, 5.10, 5.09, 5.10, 5.10, 5.08, 5.08, 5.10, 5.10, 5.02, 5.07, 5.04, 5.00, 4.91, 4.90, 4.91, 4.88, 4.89, 4.91, 4.88",4329.203125
llama3.2-3b-q4_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,2.8801221565008746,"2.962, 1.831, 2.547, 2.093, 4.493, 2.780, 2.279, 3.096, 4.313, 2.809, 2.905, 2.952, 3.182, 2.817, 2.544, 4.000, 2.647, 2.586, 1.763, 3.002",40.03505921362734,4.911735351810897,"4.98, 4.94, 4.93, 4.93, 4.86, 4.94, 4.93, 4.85, 4.81, 4.96, 4.95, 4.97, 4.83, 4.90, 4.89, 4.89, 4.94, 4.94, 4.93, 4.88",4348.28125
llama3.2-3b-q4_k_m.gguf,HumanEval,2814,140.7,"164, 155, 125, 159, 157, 132, 152, 133, 150, 140, 182, 116, 142, 110, 99, 108, 110, 207, 128, 145",-,3.5131607158516998,"4.597, 3.805, 3.084, 4.162, 3.981, 3.084, 3.754, 3.191, 3.765, 3.191, 5.072, 2.726, 3.487, 2.631, 2.113, 2.466, 2.464, 5.803, 3.131, 3.757",40.73380344892416,4.879893090871276,"5.06, 4.88, 4.88, 4.86, 4.86, 4.86, 4.80, 4.89, 4.87, 4.87, 4.87, 4.89, 4.87, 4.90, 4.95, 4.91, 4.90, 4.79, 4.85, 4.84",4348.28125
llama3.2-3b-q3_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",1.4649619599949801,8.644395494198397,"6.419, 11.616, 14.117, 16.638, 4.738, 9.179, 12.197, 5.531, 5.900, 12.936, 7.359, 5.792, 12.074, 5.322, 8.432, 9.299, 5.902, 5.531, 6.084, 7.822",18.12853404726258,6.224246762560661,"6.23, 6.27, 6.26, 6.28, 5.63, 6.26, 6.27, 6.26, 6.24, 6.25, 6.27, 6.26, 6.28, 6.25, 6.25, 6.25, 6.25, 6.24, 6.24, 6.25",2957.03125
llama3.2-3b-q3_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,6.267585460848932,"5.541, 6.577, 5.998, 7.242, 8.693, 8.884, 8.690, 6.120, 7.847, 4.331, 5.213, 4.739, 5.504, 5.215, 3.495, 3.492, 7.450, 6.688, 7.844, 5.791",19.352268601360628,6.2467279336134025,"6.25, 6.26, 6.24, 6.23, 6.25, 6.26, 6.25, 6.24, 6.24, 6.24, 6.26, 6.23, 6.26, 6.25, 6.24, 6.26, 6.26, 6.25, 6.24, 6.23",2986.9375
