Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Dataset Peak Memory (MB)
Qwen3-1.7B-Q5_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",13.59082926499832,2.456678393449329,"1.977, 3.163, 3.998, 4.772, 1.336, 2.626, 3.844, 1.529, 1.651, 3.549, 2.049, 1.661, 3.430, 1.488, 2.389, 2.545, 1.652, 1.534, 1.742, 2.200",57.39538579270826,7.655140852479614,"7.66, 7.57, 7.59, 7.58, 7.72, 7.67, 7.51, 7.71, 7.69, 7.62, 7.68, 7.70, 7.62, 7.70, 7.68, 7.65, 7.70, 7.70, 7.70, 7.68",2242.99609375
Qwen3-1.7B-Q5_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,1.7769114315495245,"1.603, 1.854, 1.701, 1.999, 2.427, 2.468, 2.437, 1.688, 2.165, 1.283, 1.541, 1.332, 1.653, 1.513, 0.982, 1.111, 2.116, 1.846, 2.152, 1.668",59.25117391177285,7.695758712904016,"7.71, 7.70, 7.70, 7.68, 7.67, 7.66, 7.66, 7.69, 7.68, 7.73, 7.72, 7.71, 7.71, 7.71, 7.71, 7.70, 7.69, 7.69, 7.68, 7.70",2259.25
Qwen3-1.7B-Q5_K_M.gguf,GSM8K,2021,101.05,"104, 66, 97, 75, 151, 96, 82, 109, 144, 100, 100, 104, 107, 97, 92, 134, 93, 97, 68, 105",-,1.6929340390008292,"1.778, 1.032, 1.656, 1.151, 2.606, 1.578, 1.350, 1.851, 2.503, 1.664, 1.671, 1.745, 1.779, 1.634, 1.505, 2.375, 1.542, 1.624, 1.023, 1.793",60.19261462218011,7.696901324179159,"7.70, 7.73, 7.72, 7.73, 7.66, 7.71, 7.73, 7.69, 7.65, 7.69, 7.67, 7.69, 7.68, 7.70, 7.70, 7.68, 7.70, 7.71, 7.73, 7.68",2252.75390625
Qwen3-1.7B-Q5_K_M.gguf,HumanEval,2529,126.45,"149, 140, 110, 144, 142, 117, 137, 118, 137, 125, 167, 107, 127, 97, 84, 93, 95, 197, 113, 130",-,2.035667399199883,"2.646, 2.194, 1.786, 2.365, 2.286, 1.775, 2.187, 1.834, 2.135, 1.836, 2.931, 1.745, 2.008, 1.493, 1.237, 1.418, 1.423, 3.443, 1.804, 2.166",62.82297747888413,7.681576797795998,"7.65, 7.67, 7.70, 7.65, 7.67, 7.68, 7.59, 7.69, 7.67, 7.69, 7.65, 7.70, 7.68, 7.71, 7.73, 7.71, 7.74, 7.64, 7.69, 7.70",2243.3671875
Qwen3-1.7B-Q4_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",2.4450136789964745,1.8054490467005961,"1.346, 2.383, 2.998, 3.521, 0.998, 1.946, 2.464, 1.154, 1.243, 2.635, 1.533, 1.243, 2.550, 1.115, 1.788, 1.897, 1.237, 1.152, 1.285, 1.620",77.74916334933951,11.071393183622893,"11.06, 10.91, 10.92, 10.87, 11.17, 11.07, 10.97, 11.15, 11.14, 10.98, 11.12, 11.13, 10.93, 11.12, 11.11, 11.09, 11.18, 11.20, 11.18, 11.14",2503.68359375
Qwen3-1.7B-Q4_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,1.3198878067505575,"1.189, 1.370, 1.266, 1.505, 1.787, 1.847, 1.806, 1.270, 1.610, 0.930, 1.136, 0.997, 1.239, 1.100, 0.740, 0.835, 1.558, 1.375, 1.603, 1.233",79.74936094831399,11.159756786657727,"11.16, 11.16, 11.20, 11.18, 11.14, 11.07, 11.07, 11.15, 11.12, 11.22, 11.18, 11.19, 11.18, 11.20, 11.18, 11.19, 11.10, 11.18, 11.15, 11.18",2539.16015625
Qwen3-1.7B-Q4_K_M.gguf,GSM8K,2021,101.05,"104, 66, 97, 75, 151, 96, 82, 109, 144, 100, 100, 104, 107, 97, 92, 134, 93, 97, 68, 105",-,1.2584338024997124,"1.315, 0.761, 1.212, 0.877, 1.967, 1.180, 0.989, 1.382, 1.886, 1.238, 1.247, 1.293, 1.328, 1.207, 1.132, 1.739, 1.134, 1.198, 0.766, 1.318",80.9848173958177,11.156496036243656,"11.18, 11.26, 11.15, 11.24, 11.10, 11.22, 11.24, 11.15, 11.07, 11.15, 11.09, 11.09, 11.12, 11.17, 11.17, 11.08, 11.16, 11.16, 11.21, 11.14",2548.453125
Qwen3-1.7B-Q4_K_M.gguf,HumanEval,2529,126.45,"149, 140, 110, 144, 142, 117, 137, 118, 137, 125, 167, 107, 127, 97, 84, 93, 95, 197, 113, 130",-,1.512156728599075,"1.978, 1.638, 1.327, 1.796, 1.682, 1.319, 1.594, 1.342, 1.604, 1.380, 2.135, 1.287, 1.503, 1.112, 0.916, 1.055, 1.061, 2.567, 1.346, 1.601",84.5578844958126,11.108759035707793,"11.05, 11.08, 11.11, 11.07, 11.03, 11.08, 11.06, 11.11, 11.10, 11.15, 11.08, 11.18, 11.13, 11.18, 11.21, 11.13, 11.19, 10.98, 11.14, 11.12",2548.453125
Qwen3-1.7B-Q3_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",0.7024574560055044,4.326633327000309,"3.182, 5.742, 7.282, 8.557, 2.391, 4.670, 6.003, 2.751, 2.933, 6.365, 3.639, 2.872, 6.121, 2.645, 4.246, 4.592, 2.929, 2.752, 3.010, 3.851",32.57847869264155,8.549201698820646,"8.61, 8.50, 8.47, 8.43, 8.60, 8.53, 8.49, 8.51, 8.58, 8.55, 8.57, 8.59, 8.50, 8.59, 8.55, 8.54, 8.60, 8.60, 8.60, 8.56",1826.48828125
Qwen3-1.7B-Q3_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,3.124247230400215,"2.735, 3.254, 2.965, 3.605, 4.273, 4.386, 4.287, 3.036, 3.880, 2.152, 2.572, 2.354, 2.931, 2.573, 1.750, 1.941, 3.690, 3.326, 3.904, 2.870",33.78109743603885,8.450631624592445,"8.62, 7.94, 8.60, 8.61, 8.58, 8.58, 8.19, 8.60, 8.58, 8.61, 7.50, 8.62, 8.61, 8.63, 8.66, 8.26, 8.05, 8.61, 8.60, 8.56",1865.52734375
Qwen3-1.7B-Q3_K_M.gguf,GSM8K,2021,101.05,"104, 66, 97, 75, 151, 96, 82, 109, 144, 100, 100, 104, 107, 97, 92, 134, 93, 97, 68, 105",-,2.9715617448997365,"3.088, 1.727, 2.831, 2.043, 4.733, 2.790, 2.304, 3.251, 4.490, 2.938, 2.930, 3.078, 3.180, 2.830, 2.663, 4.132, 2.676, 2.846, 1.788, 3.113",34.391400471546454,8.602847932669041,"8.59, 8.65, 8.60, 8.65, 8.56, 8.61, 8.61, 8.58, 8.55, 8.60, 8.63, 8.63, 8.63, 8.62, 8.61, 8.53, 8.60, 8.59, 8.63, 8.58",1871.2578125
Qwen3-1.7B-Q3_K_M.gguf,HumanEval,2529,126.45,"149, 140, 110, 144, 142, 117, 137, 118, 137, 125, 167, 107, 127, 97, 84, 93, 95, 197, 113, 130",-,3.6007517159509006,"4.737, 3.925, 3.108, 4.303, 3.985, 3.108, 3.813, 3.146, 3.875, 3.310, 5.126, 3.008, 3.533, 2.643, 2.188, 2.499, 2.502, 6.185, 3.212, 3.811",35.568117879839605,8.579368122429742,"8.54, 8.57, 8.60, 8.57, 8.56, 8.60, 8.50, 8.59, 8.57, 8.58, 8.54, 8.60, 8.60, 8.61, 8.64, 8.62, 8.62, 8.51, 8.60, 8.58",1874.640625
