Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Dataset Peak Memory (MB)
Qwen3-1.7B-Q5_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",0.4542751949993544,2.6441462081498686,"1.927, 3.453, 4.403, 5.237, 1.455, 2.858, 3.631, 1.666, 1.798, 3.877, 2.226, 1.801, 3.774, 1.629, 2.607, 2.781, 1.800, 1.669, 1.889, 2.402",53.2326091773391,7.270810107936052,"7.34, 7.16, 7.13, 7.06, 7.37, 7.36, 7.26, 7.37, 7.37, 7.23, 7.37, 7.37, 7.25, 7.36, 7.34, 7.35, 7.27, 7.20, 7.14, 7.12",2850.75
Qwen3-1.7B-Q5_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,1.9391538888996365,"1.752, 2.014, 1.843, 2.179, 2.651, 2.697, 2.653, 1.853, 2.356, 1.389, 1.648, 1.471, 1.811, 1.654, 1.083, 1.222, 2.293, 2.024, 2.370, 1.822",54.26975201930933,7.1369402255221654,"7.36, 7.36, 7.36, 7.36, 7.21, 7.13, 7.13, 7.09, 7.07, 7.07, 7.07, 7.06, 7.06, 7.07, 7.06, 7.06, 7.06, 7.04, 7.07, 7.05",2886.140625
Qwen3-1.7B-Q5_K_M.gguf,GSM8K,2021,101.05,"104, 66, 97, 75, 151, 96, 82, 109, 144, 100, 100, 104, 107, 97, 92, 134, 93, 97, 68, 105",-,1.8486131167996063,"1.919, 1.124, 1.763, 1.251, 2.871, 1.724, 1.485, 2.035, 2.765, 1.817, 1.816, 1.907, 1.943, 1.777, 1.644, 2.580, 1.693, 1.776, 1.129, 1.952",55.137272757597216,7.101220711110661,"7.32, 7.21, 7.11, 7.09, 7.08, 7.09, 7.08, 7.08, 7.08, 7.09, 7.08, 7.09, 7.09, 7.08, 7.08, 7.09, 7.08, 7.06, 7.06, 7.07",2908.734375
Qwen3-1.7B-Q5_K_M.gguf,HumanEval,2529,126.45,"149, 140, 110, 144, 142, 117, 137, 118, 137, 125, 167, 107, 127, 97, 84, 93, 95, 197, 113, 130",-,2.2306780740496834,"2.900, 2.392, 1.937, 2.610, 2.501, 1.949, 2.380, 1.996, 2.372, 2.027, 3.189, 1.905, 2.199, 1.646, 1.340, 1.561, 1.564, 3.785, 1.985, 2.378",57.336000296843466,7.074138756274903,"7.24, 7.09, 7.07, 7.07, 7.07, 7.07, 7.07, 7.07, 7.06, 7.07, 7.01, 7.07, 7.09, 7.08, 7.08, 7.08, 7.09, 6.94, 7.09, 7.09",2908.734375
Qwen3-1.7B-Q4_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",0.3929164370019862,2.2065268744498097,"1.625, 2.914, 3.681, 4.369, 1.213, 2.377, 3.041, 1.399, 1.496, 3.235, 1.856, 1.480, 3.125, 1.366, 2.168, 2.331, 1.504, 1.407, 1.557, 1.987",63.794173744547194,7.83172116334246,"7.95, 7.81, 7.70, 7.60, 7.95, 7.94, 7.82, 7.96, 7.96, 7.79, 7.96, 7.92, 7.74, 7.96, 7.73, 7.70, 7.70, 7.91, 7.77, 7.77",2565.203125
Qwen3-1.7B-Q4_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,1.6021062524998342,"1.429, 1.667, 1.523, 1.830, 2.190, 2.232, 2.191, 1.548, 1.970, 1.125, 1.344, 1.213, 1.497, 1.341, 0.905, 1.007, 1.888, 1.687, 1.976, 1.478",65.7391145134878,7.917952823391795,"7.96, 7.96, 7.96, 7.96, 7.96, 7.96, 7.96, 7.96, 7.96, 7.96, 7.96, 7.96, 7.96, 7.95, 7.94, 7.84, 7.70, 7.71, 7.80, 7.92",2600.5
Qwen3-1.7B-Q4_K_M.gguf,GSM8K,2021,101.05,"104, 66, 97, 75, 151, 96, 82, 109, 144, 100, 100, 104, 107, 97, 92, 134, 93, 97, 68, 105",-,1.5250302096001178,"1.612, 0.913, 1.452, 1.046, 2.404, 1.427, 1.203, 1.667, 2.287, 1.499, 1.505, 1.575, 1.615, 1.457, 1.357, 2.111, 1.385, 1.455, 0.930, 1.603",66.88633763726557,7.95715713258284,"7.96, 7.96, 7.95, 7.96, 7.94, 7.96, 7.96, 7.96, 7.96, 7.95, 7.95, 7.96, 7.95, 7.96, 7.96, 7.96, 7.96, 7.96, 7.96, 7.96",2623.09375
Qwen3-1.7B-Q4_K_M.gguf,HumanEval,2529,126.45,"149, 140, 110, 144, 142, 117, 137, 118, 137, 125, 167, 107, 127, 97, 84, 93, 95, 197, 113, 130",-,1.844007890549983,"2.433, 1.990, 1.596, 2.180, 2.041, 1.599, 1.955, 1.627, 1.972, 1.683, 2.613, 1.550, 1.812, 1.361, 1.122, 1.292, 1.296, 3.146, 1.648, 1.966",69.37546391534605,7.815435094085103,"7.94, 7.96, 7.96, 7.95, 7.96, 7.94, 7.90, 7.96, 7.96, 7.96, 7.79, 7.71, 7.69, 7.69, 7.67, 7.67, 7.68, 7.53, 7.68, 7.68",2623.09375
Qwen3-1.7B-Q3_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",0.6708620089993929,4.496190890249818,"3.290, 5.954, 7.577, 8.911, 2.446, 4.847, 6.271, 2.844, 3.041, 6.642, 3.782, 2.965, 6.385, 2.739, 4.418, 4.788, 3.042, 2.846, 3.122, 4.013",31.394158528763946,10.190319927870831,"10.59, 10.43, 10.03, 9.70, 10.25, 10.23, 10.01, 10.24, 10.24, 9.96, 10.24, 10.24, 9.99, 10.24, 10.24, 10.21, 10.24, 10.24, 10.24, 10.24",1890.796875
Qwen3-1.7B-Q3_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,3.240275794649642,"2.842, 3.371, 3.083, 3.742, 4.448, 4.558, 4.448, 3.155, 4.043, 2.219, 2.671, 2.442, 3.042, 2.672, 1.803, 2.000, 3.821, 3.440, 4.041, 2.965",32.589853052576686,9.982253977191903,"10.27, 10.25, 8.16, 10.24, 10.24, 10.24, 9.64, 10.23, 10.23, 8.95, 10.22, 10.24, 10.24, 10.24, 10.23, 9.87, 9.44, 10.24, 10.24, 10.25",1926.078125
