Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Dataset Peak Memory (MB)
gemma-4-E2B-it-Q5_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",23.176949770000647,6.273490523349755,"8.977, 7.366, 11.985, 10.145, 4.286, 8.429, 10.282, 3.960, 4.065, 7.685, 6.661, 3.186, 6.352, 3.703, 4.499, 6.245, 4.113, 4.395, 3.236, 5.899",22.926481110984035,5.1426726041677,"5.25, 4.90, 4.92, 5.16, 5.27, 5.13, 5.07, 5.28, 5.28, 5.27, 5.26, 5.27, 5.03, 5.29, 4.72, 5.24, 5.27, 5.27, 5.28, 4.69",2444.93359375
gemma-4-E2B-it-Q5_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,6.461008251199383,"3.921, 3.673, 4.376, 5.549, 4.459, 19.700, 6.926, 5.596, 5.616, 27.480, 6.709, 3.364, 5.439, 2.935, 2.617, 2.181, 5.832, 4.613, 4.437, 3.797",21.503719864811245,5.279057038687876,"5.22, 5.28, 5.29, 5.29, 5.30, 5.27, 5.29, 5.26, 5.26, 5.28, 5.29, 5.30, 5.27, 5.29, 5.30, 5.27, 5.29, 5.27, 5.29, 5.29",2359.03125
gemma-4-E2B-it-Q5_K_M.gguf,GSM8K,1958,97.9,"101, 63, 94, 71, 148, 91, 77, 106, 141, 96, 97, 98, 103, 96, 94, 131, 90, 95, 64, 102",-,3.637887226399653,"3.797, 2.538, 4.143, 1.977, 5.062, 4.408, 2.232, 3.485, 5.584, 2.864, 2.917, 4.879, 4.088, 2.856, 4.937, 5.306, 4.162, 2.777, 1.768, 2.979",28.28739411246097,5.1741171586033206,"4.75, 4.82, 4.98, 5.32, 5.03, 5.31, 5.27, 5.25, 5.22, 5.30, 5.01, 5.15, 5.14, 5.30, 5.56, 4.91, 5.30, 5.30, 5.31, 5.25",2398.7578125
gemma-4-E2B-it-Q5_K_M.gguf,HumanEval,2659,132.95,"158, 148, 111, 150, 146, 126, 145, 126, 147, 131, 178, 112, 133, 99, 86, 101, 98, 207, 121, 136",-,4.980154985950139,"4.962, 6.495, 3.519, 4.433, 5.070, 5.949, 5.079, 3.875, 4.489, 3.498, 11.223, 5.257, 3.641, 7.682, 2.306, 2.775, 3.058, 7.443, 3.837, 5.012",29.00200197260947,5.156782816302757,"5.19, 5.29, 5.29, 5.29, 5.23, 5.24, 5.13, 5.31, 5.28, 5.22, 4.87, 4.87, 4.60, 5.02, 5.13, 5.30, 5.32, 5.27, 5.24, 5.04",2404.46484375
gemma-4-E2B-it-Q4_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",7.336991880001733,6.377039398950183,"6.190, 9.304, 17.566, 12.074, 2.512, 4.857, 7.583, 2.666, 3.120, 8.291, 12.291, 2.485, 6.831, 6.560, 3.559, 4.875, 3.629, 2.433, 4.373, 6.342",25.601024529267125,7.588628091455428,"8.15, 6.30, 6.65, 7.63, 8.13, 7.77, 6.10, 8.06, 8.13, 8.10, 8.09, 8.08, 7.22, 8.11, 6.86, 6.96, 8.08, 7.84, 8.08, 7.44",3089.8125
gemma-4-E2B-it-Q4_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,4.0701574483498915,"5.936, 3.348, 3.375, 3.433, 3.788, 8.100, 4.959, 3.976, 11.331, 2.482, 1.859, 2.011, 2.785, 4.692, 1.747, 1.730, 4.673, 3.436, 4.724, 3.018",29.106304580371795,8.049858985246432,"7.72, 8.03, 8.12, 8.07, 7.63, 8.10, 8.08, 8.13, 8.11, 8.12, 8.11, 8.13, 7.86, 8.07, 8.09, 8.13, 8.13, 8.11, 8.13, 8.13",3171.81640625
gemma-4-E2B-it-Q4_K_M.gguf,GSM8K,1958,97.9,"101, 63, 94, 71, 148, 91, 77, 106, 141, 96, 97, 98, 103, 96, 94, 131, 90, 95, 64, 102",-,3.507035395350613,"4.025, 3.203, 2.218, 1.593, 3.647, 2.585, 1.778, 2.733, 3.487, 4.621, 2.307, 14.536, 2.913, 3.990, 2.209, 5.117, 2.728, 2.226, 1.825, 2.401",34.019907261127884,7.950211821726084,"7.12, 7.95, 8.11, 8.07, 7.80, 7.62, 8.13, 7.76, 7.70, 8.15, 8.14, 7.99, 7.64, 8.13, 8.64, 8.06, 7.75, 8.13, 8.13, 7.98",3204.1484375
gemma-4-E2B-it-Q4_K_M.gguf,HumanEval,2659,132.95,"158, 148, 111, 150, 146, 126, 145, 126, 147, 131, 178, 112, 133, 99, 86, 101, 98, 207, 121, 136",-,3.7422944676998666,"3.977, 5.547, 3.004, 3.566, 4.188, 3.622, 3.214, 5.232, 3.576, 2.799, 9.758, 2.510, 2.922, 2.667, 1.849, 2.238, 2.486, 5.371, 3.171, 3.148",38.43209850674252,8.029724209815582,"7.95, 8.10, 8.17, 8.17, 7.82, 8.05, 8.11, 8.19, 8.10, 8.12, 7.67, 8.13, 7.75, 7.89, 7.92, 8.14, 8.22, 7.93, 8.11, 8.06",3226.28515625
gemma-4-E2B-it-Q3_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",3.41548893199797,7.7067598352497955,"6.489, 9.830, 12.482, 16.134, 3.889, 7.680, 11.297, 4.913, 6.105, 10.824, 9.663, 4.694, 10.179, 4.497, 6.700, 7.541, 4.964, 4.587, 5.206, 6.461",18.267964959460333,5.489382522968088,"5.55, 4.93, 5.19, 5.32, 5.60, 5.57, 5.55, 5.59, 5.58, 5.61, 5.61, 5.60, 5.16, 5.54, 5.68, 5.62, 5.59, 5.58, 5.59, 5.34",2640.2890625
gemma-4-E2B-it-Q3_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,5.670346680650073,"6.406, 5.028, 6.935, 5.826, 7.198, 8.634, 7.152, 5.542, 8.270, 3.332, 4.401, 3.932, 4.587, 4.206, 2.749, 3.441, 8.463, 5.203, 5.976, 6.128",18.5549075872136,5.582622942552062,"5.59, 5.59, 5.59, 5.59, 5.59, 5.60, 5.59, 5.58, 5.51, 5.61, 5.60, 5.61, 5.59, 5.60, 5.58, 5.60, 5.48, 5.59, 5.58, 5.59",2274.59765625
