Model,Dataset,Max_Tokens,Runs,Model_Load_Time (s),Cold_Start_TTFT (s),TTFT_Mean (s),TTFT_Std (s),Prefill_TPS_Mean,Prefill_TPS_Std,Decode_TPS_Mean,Decode_TPS_Std,Max_Peak_Mem (MB)
Llama-3.2-3B-Instruct-Q3_K_M.gguf,MMLU,128,3,22.16,1.2384,7.0958,0.0016,19.6336,0.005,5.0151,0.0035,3017.8
Llama-3.2-3B-Instruct-Q3_K_M.gguf,ARC,128,3,22.16,1.2384,5.1248,0.0002,21.2408,0.0014,5.0285,0.0039,3022.9
Llama-3.2-3B-Instruct-Q3_K_M.gguf,HellaSwag,128,3,22.16,1.2384,7.2503,0.001,19.5595,0.0032,5.0333,0.0019,3038.2
Llama-3.2-3B-Instruct-Q3_K_M.gguf,TruthfulQA,128,3,22.16,1.2384,1.6595,0.0008,34.8131,0.0163,5.0684,0.0018,3039.7
Llama-3.2-3B-Instruct-Q3_K_M.gguf,GSM8K,128,3,22.16,1.2384,5.6128,0.0025,20.7174,0.009,5.0899,0.003,3041.1
Llama-3.2-3B-Instruct-Q3_K_M.gguf,MMLU,256,3,22.16,1.2384,7.1007,0.0018,19.62,0.004,5.0311,0.0006,3042.4
Llama-3.2-3B-Instruct-Q3_K_M.gguf,ARC,256,3,22.16,1.2384,5.1291,0.0009,21.224,0.0031,5.0344,0.0007,3043.9
Llama-3.2-3B-Instruct-Q3_K_M.gguf,HellaSwag,256,3,22.16,1.2384,7.2595,0.0005,19.5347,0.0021,5.0336,0.0008,3045.5
Llama-3.2-3B-Instruct-Q3_K_M.gguf,TruthfulQA,256,3,22.16,1.2384,1.6599,0.0005,34.8027,0.0116,5.0567,0.0008,3045.5
Llama-3.2-3B-Instruct-Q3_K_M.gguf,GSM8K,256,3,22.16,1.2384,5.611,0.0005,20.7231,0.0026,5.0393,0.0005,3048.3
Llama-3.2-3B-Instruct-Q3_K_M.gguf,MMLU,512,3,22.16,1.2384,7.0971,0.0032,19.6319,0.0081,5.0347,0.0012,3051.4
Llama-3.2-3B-Instruct-Q3_K_M.gguf,ARC,512,3,22.16,1.2384,5.1234,0.0005,21.2477,0.0031,5.0393,0.0022,3054.2
Llama-3.2-3B-Instruct-Q3_K_M.gguf,HellaSwag,512,3,22.16,1.2384,7.2504,0.0004,19.5591,0.0019,5.0373,0.0016,3057.1
Llama-3.2-3B-Instruct-Q3_K_M.gguf,TruthfulQA,512,3,22.16,1.2384,1.6619,0.0032,34.775,0.0534,5.06,0.001,3060.2
Llama-3.2-3B-Instruct-Q3_K_M.gguf,GSM8K,512,3,22.16,1.2384,5.6086,0.0002,20.732,0.0008,5.0313,0.0011,3063.0
Llama-3.2-3B-Instruct-Q4_K_M.gguf,MMLU,128,3,28.19,0.5949,2.889,0.0012,47.9949,0.0173,6.8275,0.0081,4320.5
