Model,Dataset,Max_Tokens,Runs,Model_Load_Time (s),Cold_Start_TTFT (s),TTFT_Mean (s),TTFT_Std (s),Prefill_TPS_Mean,Prefill_TPS_Std,Decode_TPS_Mean,Decode_TPS_Std,Max_Peak_Mem (MB)
Qwen3-1.7B-Q3_K_M.gguf,MMLU,128,3,8.77,5.0706,3.7281,0.0457,33.3345,0.1946,8.9016,0.0275,1950.3
Qwen3-1.7B-Q3_K_M.gguf,ARC,128,3,8.77,5.0706,2.6429,0.0006,35.1119,0.0089,8.9187,0.002,1967.6
Qwen3-1.7B-Q3_K_M.gguf,HellaSwag,128,3,8.77,5.0706,3.716,0.0012,33.9186,0.0117,8.8964,0.0049,1969.8
Qwen3-1.7B-Q3_K_M.gguf,TruthfulQA,128,3,8.77,5.0706,0.8661,0.0038,49.0179,0.1324,8.9048,0.0015,1973.8
Qwen3-1.7B-Q3_K_M.gguf,GSM8K,128,3,8.77,5.0706,2.9626,0.0016,34.5685,0.0198,8.9386,0.0048,1977.4
Qwen3-1.7B-Q3_K_M.gguf,MMLU,256,3,8.77,5.0706,3.7003,0.003,33.4261,0.0312,8.7643,0.0052,1980.8
Qwen3-1.7B-Q3_K_M.gguf,ARC,256,3,8.77,5.0706,2.646,0.0005,35.0666,0.008,8.8335,0.002,1984.4
Qwen3-1.7B-Q3_K_M.gguf,HellaSwag,256,3,8.77,5.0706,3.7204,0.001,33.8777,0.01,8.8357,0.0028,1984.4
Qwen3-1.7B-Q3_K_M.gguf,TruthfulQA,256,3,8.77,5.0706,0.8637,0.0032,49.1253,0.1431,8.8701,0.0048,1989.6
Qwen3-1.7B-Q3_K_M.gguf,GSM8K,256,3,8.77,5.0706,2.9631,0.0009,34.5621,0.0104,8.7888,0.008,1993.2
Qwen3-1.7B-Q3_K_M.gguf,MMLU,512,3,8.77,5.0706,3.6987,0.0009,33.4441,0.0068,8.5872,0.0012,1993.2
Qwen3-1.7B-Q3_K_M.gguf,ARC,512,3,8.77,5.0706,2.6457,0.0017,35.0738,0.0241,8.7412,0.0164,1994.7
Qwen3-1.7B-Q3_K_M.gguf,HellaSwag,512,3,8.77,5.0706,3.7155,0.0007,33.9229,0.0062,8.7964,0.0053,1996.5
Qwen3-1.7B-Q3_K_M.gguf,TruthfulQA,512,3,8.77,5.0706,0.8628,0.001,49.1433,0.0592,8.8299,0.0089,1998.3
Qwen3-1.7B-Q3_K_M.gguf,GSM8K,512,3,8.77,5.0706,2.961,0.0002,34.5876,0.0042,8.6259,0.0031,2000.2
