Model,Dataset,Max_Tokens,Runs,Model_Load_Time (s),Cold_Start_TTFT (s),TTFT_Mean (s),TTFT_Std (s),Prefill_TPS_Mean,Prefill_TPS_Std,Decode_TPS_Mean,Decode_TPS_Std,Max_Peak_Mem (MB)
Qwen3-1.7B-Q5_K_M.gguf,MMLU,128,3,2.69,0.3762,2.0839,0.0018,59.106,0.0641,7.8653,0.0061,2920.8
Qwen3-1.7B-Q5_K_M.gguf,ARC,128,3,2.69,0.3762,1.5123,0.0037,61.1999,0.1024,7.8829,0.0028,2929.9
Qwen3-1.7B-Q5_K_M.gguf,HellaSwag,128,3,2.69,0.3762,2.0998,0.0029,59.969,0.0887,7.872,0.0029,2931.4
Qwen3-1.7B-Q5_K_M.gguf,TruthfulQA,128,3,2.69,0.3762,0.5305,0.0005,79.9507,0.0844,7.8801,0.003,2935.0
Qwen3-1.7B-Q5_K_M.gguf,GSM8K,128,3,2.69,0.3762,1.6872,0.0029,60.5427,0.0988,7.8748,0.0031,2938.6
Qwen3-1.7B-Q5_K_M.gguf,MMLU,256,3,2.69,0.3762,2.0888,0.0031,58.9675,0.0924,7.7378,0.0058,2941.9
Qwen3-1.7B-Q5_K_M.gguf,ARC,256,3,2.69,0.3762,1.5138,0.0012,61.1094,0.04,7.7668,0.0035,2945.5
Qwen3-1.7B-Q5_K_M.gguf,HellaSwag,256,3,2.69,0.3762,2.0995,0.0017,59.9757,0.0628,7.7425,0.0001,2945.5
Qwen3-1.7B-Q5_K_M.gguf,TruthfulQA,256,3,2.69,0.3762,0.5295,0.0005,80.069,0.0684,7.8193,0.0027,2950.7
Qwen3-1.7B-Q5_K_M.gguf,GSM8K,256,3,2.69,0.3762,1.688,0.0028,60.5169,0.1052,7.7602,0.0055,2954.0
Qwen3-1.7B-Q5_K_M.gguf,MMLU,512,3,2.69,0.3762,2.0844,0.0015,59.0957,0.0511,7.597,0.0034,2954.0
Qwen3-1.7B-Q5_K_M.gguf,ARC,512,3,2.69,0.3762,1.5114,0.0025,61.2071,0.0961,7.6545,0.0079,2955.8
Qwen3-1.7B-Q5_K_M.gguf,HellaSwag,512,3,2.69,0.3762,2.1034,0.003,59.8735,0.0824,7.5989,0.0019,2957.6
Qwen3-1.7B-Q5_K_M.gguf,TruthfulQA,512,3,2.69,0.3762,0.5289,0.0009,80.1518,0.1302,7.726,0.004,2959.4
Qwen3-1.7B-Q5_K_M.gguf,GSM8K,512,3,2.69,0.3762,1.6879,0.0013,60.518,0.0462,7.6245,0.0021,2961.2
Qwen3-1.7B-Q4_K_M.gguf,MMLU,128,3,3.03,0.2735,1.5445,0.001,79.7251,0.0574,11.378,0.0064,2640.1
Qwen3-1.7B-Q4_K_M.gguf,ARC,128,3,3.03,0.2735,1.117,0.0001,82.7921,0.0327,11.419,0.0056,2649.1
Qwen3-1.7B-Q4_K_M.gguf,HellaSwag,128,3,3.03,0.2735,1.5576,0.0059,80.8897,0.1945,11.4047,0.0012,2650.9
Qwen3-1.7B-Q4_K_M.gguf,TruthfulQA,128,3,3.03,0.2735,0.3897,0.0007,108.5727,0.1882,11.4246,0.0102,2654.5
Qwen3-1.7B-Q4_K_M.gguf,GSM8K,128,3,3.03,0.2735,1.2459,0.0006,81.9892,0.0483,11.4152,0.003,2657.8
Qwen3-1.7B-Q4_K_M.gguf,MMLU,256,3,3.03,0.2735,1.5453,0.0013,79.676,0.0682,11.1365,0.0008,2661.4
Qwen3-1.7B-Q4_K_M.gguf,ARC,256,3,3.03,0.2735,1.118,0.0021,82.7318,0.1475,11.1989,0.008,2665.0
Qwen3-1.7B-Q4_K_M.gguf,HellaSwag,256,3,3.03,0.2735,1.5515,0.001,81.123,0.0449,11.1671,0.0012,2665.0
Qwen3-1.7B-Q4_K_M.gguf,TruthfulQA,256,3,3.03,0.2735,0.39,0.0006,108.5491,0.1006,11.3058,0.0096,2670.1
Qwen3-1.7B-Q4_K_M.gguf,GSM8K,256,3,3.03,0.2735,1.2494,0.0042,81.8017,0.2106,11.1894,0.0011,2673.5
Qwen3-1.7B-Q4_K_M.gguf,MMLU,512,3,3.03,0.2735,1.5466,0.0008,79.6137,0.0493,10.8421,0.0048,2673.5
