Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Dataset Peak Memory (MB)
llama3.2-3b-q5_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",14.828456584000378,5.512776898750007,"4.796, 6.960, 10.515, 10.909, 2.572, 5.523, 8.300, 5.084, 3.489, 6.895, 4.544, 3.371, 7.991, 3.483, 4.448, 4.927, 3.203, 2.958, 3.369, 6.919",29.336771858975517,4.410981845796552,"4.41, 4.40, 4.37, 4.43, 4.41, 4.40, 4.42, 4.42, 4.41, 4.40, 4.41, 4.41, 4.43, 4.42, 4.42, 4.41, 4.41, 4.41, 4.40, 4.44",3075.4375
llama3.2-3b-q5_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,3.5751618227499877,"3.089, 3.581, 3.308, 3.962, 5.345, 5.095, 5.412, 3.400, 4.319, 3.479, 2.911, 2.574, 3.057, 2.935, 1.889, 1.881, 4.051, 3.556, 4.153, 3.509",34.13602643379331,4.405988012372736,"4.42, 4.39, 4.43, 4.37, 4.37, 4.39, 4.40, 4.42, 4.41, 4.41, 4.42, 4.43, 4.41, 4.42, 4.41, 4.41, 4.42, 4.42, 4.41, 4.35",3032.90234375
llama3.2-3b-q5_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,3.2639347953001105,"3.265, 1.995, 2.836, 2.318, 5.014, 3.047, 3.781, 3.441, 4.794, 3.158, 3.233, 3.293, 3.548, 3.140, 2.817, 4.445, 2.919, 2.905, 1.976, 3.355",35.406999361615135,4.449376683734942,"4.46, 4.42, 4.45, 4.42, 4.45, 4.46, 4.45, 4.46, 4.46, 4.46, 4.45, 4.43, 4.42, 4.46, 4.46, 4.46, 4.46, 4.46, 4.46, 4.45",3029.8828125
llama3.2-3b-q5_k_m.gguf,HumanEval,2814,140.7,"164, 155, 125, 159, 157, 132, 152, 133, 150, 140, 182, 116, 142, 110, 99, 108, 110, 207, 128, 145",-,3.92156762204977,"5.091, 4.250, 3.491, 4.629, 4.415, 3.437, 4.191, 3.518, 4.187, 3.559, 5.628, 3.049, 3.883, 2.925, 2.339, 2.766, 2.735, 6.650, 3.489, 4.199",36.52687072362873,4.451303193792742,"4.43, 4.45, 4.46, 4.46, 4.45, 4.46, 4.46, 4.45, 4.45, 4.45, 4.43, 4.45, 4.46, 4.46, 4.46, 4.46, 4.46, 4.41, 4.45, 4.46",3040.46484375
llama3.2-3b-q4_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",1.269155406000209,3.3888459936999427,"2.555, 4.501, 5.475, 6.418, 1.903, 3.591, 4.712, 2.213, 2.338, 5.018, 2.901, 2.328, 4.723, 2.103, 3.279, 3.611, 2.358, 2.193, 2.447, 3.111",45.98578596141766,6.709022561965817,"6.79, 6.93, 6.61, 6.76, 6.68, 6.70, 6.71, 6.68, 6.66, 6.65, 6.65, 6.69, 6.74, 6.69, 6.72, 6.71, 6.73, 6.72, 6.68, 6.67",4211.4609375
llama3.2-3b-q4_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,2.4888148398002157,"2.220, 2.609, 2.382, 2.863, 3.416, 3.486, 3.407, 2.406, 3.084, 1.770, 2.090, 1.911, 2.197, 2.088, 1.393, 1.446, 2.957, 2.659, 3.071, 2.320",48.55427441028094,6.678361171028149,"6.72, 6.70, 6.66, 6.70, 6.31, 6.72, 6.68, 6.70, 6.67, 6.73, 6.69, 6.73, 6.68, 6.70, 6.72, 6.68, 6.65, 6.66, 6.74, 6.72",4241.7421875
llama3.2-3b-q4_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,2.32393915820021,"2.410, 1.421, 2.055, 1.660, 3.667, 2.191, 1.829, 2.533, 3.491, 2.291, 2.331, 2.396, 2.558, 2.284, 2.061, 3.214, 2.085, 2.105, 1.450, 2.446",49.684330261004604,6.75722647408914,"6.80, 6.74, 6.77, 6.72, 6.76, 6.79, 6.79, 6.75, 6.76, 6.77, 6.76, 6.76, 6.76, 6.76, 6.74, 6.74, 6.74, 6.70, 6.75, 6.76",4244.828125
llama3.2-3b-q4_k_m.gguf,HumanEval,2814,140.7,"164, 155, 125, 159, 157, 132, 152, 133, 150, 140, 182, 116, 142, 110, 99, 108, 110, 207, 128, 145",-,2.8569719063000774,"3.744, 3.100, 2.503, 3.402, 3.217, 2.498, 3.081, 2.540, 3.052, 2.623, 4.102, 2.232, 2.823, 2.095, 1.739, 2.004, 2.017, 4.757, 2.552, 3.058",50.096559226989925,6.7611724825537305,"6.74, 6.78, 6.76, 6.77, 6.76, 6.75, 6.77, 6.76, 6.76, 6.77, 6.71, 6.77, 6.78, 6.77, 6.79, 6.80, 6.79, 6.66, 6.76, 6.77",4244.828125
llama3.2-3b-q3_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",1.4168574069990427,8.325711284700082,"6.192, 11.181, 13.543, 15.962, 4.586, 8.828, 11.732, 5.364, 5.706, 12.427, 7.109, 5.584, 11.624, 5.144, 8.129, 8.961, 5.716, 5.352, 5.858, 7.516",18.799537176161582,5.0118779418224335,"5.05, 4.99, 5.03, 5.02, 5.01, 4.97, 5.01, 5.03, 5.02, 5.00, 5.00, 5.00, 5.02, 5.02, 5.02, 5.01, 5.00, 5.03, 5.02, 5.00",2874.34375
llama3.2-3b-q3_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,6.044101490849789,"5.297, 6.328, 5.773, 6.952, 8.344, 8.557, 8.361, 5.925, 7.571, 4.216, 5.018, 4.594, 5.313, 5.021, 3.396, 3.400, 7.181, 6.480, 7.564, 5.591",20.048770804033687,5.008635533781958,"5.02, 5.02, 5.04, 5.02, 5.01, 5.01, 5.01, 5.01, 5.01, 5.00, 4.97, 5.03, 5.00, 4.93, 5.01, 5.03, 5.02, 5.01, 5.00, 5.02",2904.7890625
