Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Dataset Peak Memory (MB)
llama3.2-3b-q5_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",1.0446650069934549,5.016793545951077,"3.677, 6.640, 8.249, 9.613, 2.778, 5.359, 6.981, 3.178, 3.436, 7.485, 4.263, 3.506, 7.027, 3.114, 4.821, 5.323, 3.437, 3.178, 3.644, 4.627",31.17576651770657,4.451691825071604,"4.41, 4.43, 4.47, 4.48, 4.44, 4.48, 4.44, 4.47, 4.44, 4.45, 4.47, 4.45, 4.48, 4.44, 4.47, 4.46, 4.46, 4.46, 4.44, 4.37",4876.671875
llama3.2-3b-q5_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,3.723509536853817,"3.353, 3.864, 3.538, 4.288, 5.132, 5.186, 5.125, 3.513, 4.492, 2.664, 3.224, 2.835, 3.385, 3.226, 2.080, 2.081, 4.446, 3.903, 4.578, 3.556",32.46118180177511,4.364234889373739,"4.46, 4.45, 4.46, 4.47, 4.45, 4.45, 4.45, 4.41, 4.46, 4.36, 4.29, 4.29, 4.29, 4.29, 4.30, 4.30, 4.27, 4.27, 4.27, 4.29",4906.640625
llama3.2-3b-q5_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,3.519990126600169,"3.546, 2.225, 3.115, 2.553, 5.514, 3.383, 2.781, 3.780, 5.289, 3.456, 3.554, 3.609, 3.886, 3.453, 3.117, 4.891, 3.222, 3.175, 2.171, 3.680",32.76314919697191,4.292174171759533,"4.34, 4.31, 4.28, 4.30, 4.25, 4.31, 4.30, 4.28, 4.27, 4.31, 4.31, 4.31, 4.30, 4.28, 4.29, 4.27, 4.28, 4.28, 4.30, 4.28",4925.71875
llama3.2-3b-q5_k_m.gguf,HumanEval,2814,140.7,"164, 155, 125, 159, 157, 132, 152, 133, 150, 140, 182, 116, 142, 110, 99, 108, 110, 207, 128, 145",-,4.302705745798448,"5.554, 4.681, 3.786, 5.085, 4.890, 3.784, 4.611, 3.890, 4.616, 3.906, 6.237, 3.349, 4.276, 3.224, 2.572, 3.014, 3.014, 7.107, 3.840, 4.617",33.26146960881879,4.266158401735806,"4.27, 4.27, 4.28, 4.27, 4.27, 4.28, 4.26, 4.26, 4.25, 4.26, 4.23, 4.26, 4.27, 4.29, 4.29, 4.28, 4.31, 4.24, 4.25, 4.24",4925.71875
llama3.2-3b-q4_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",0.8789380339876516,4.225847803200304,"3.106, 5.670, 6.857, 8.076, 2.324, 4.533, 5.923, 2.691, 2.880, 6.310, 3.581, 2.932, 5.902, 2.609, 4.069, 4.507, 2.882, 2.681, 3.063, 3.922",37.02169520184639,5.023612938729126,"5.04, 5.04, 5.05, 5.05, 5.03, 5.05, 4.99, 5.03, 5.02, 5.02, 5.03, 5.02, 5.05, 5.04, 4.94, 5.04, 5.02, 5.02, 5.04, 4.95",4302.0
llama3.2-3b-q4_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,3.1306791674505803,"2.822, 3.247, 2.972, 3.611, 4.316, 4.356, 4.313, 2.965, 3.780, 2.236, 2.705, 2.325, 2.845, 2.713, 1.756, 1.753, 3.766, 3.285, 3.848, 3.001",38.62267296420079,4.954793476803925,"5.03, 5.04, 5.03, 5.04, 5.03, 5.03, 5.03, 5.03, 5.04, 4.98, 5.04, 5.04, 4.84, 4.84, 4.85, 4.84, 4.84, 4.84, 4.84, 4.84",4331.875
llama3.2-3b-q4_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,2.9121490206474845,"3.002, 1.845, 2.574, 2.116, 4.550, 2.808, 2.291, 3.130, 4.360, 2.852, 2.950, 2.987, 3.219, 2.858, 2.569, 4.047, 2.656, 2.611, 1.781, 3.038",39.606933590486044,4.845369362447564,"4.90, 4.87, 4.86, 4.88, 4.78, 4.86, 4.87, 4.81, 4.79, 4.86, 4.84, 4.87, 4.81, 4.82, 4.82, 4.81, 4.92, 4.88, 4.86, 4.82",4350.890625
llama3.2-3b-q4_k_m.gguf,HumanEval,2814,140.7,"164, 155, 125, 159, 157, 132, 152, 133, 150, 140, 182, 116, 142, 110, 99, 108, 110, 207, 128, 145",-,3.6049634826020336,"4.665, 3.849, 3.133, 4.240, 4.093, 3.179, 3.875, 3.275, 3.873, 3.293, 5.243, 2.800, 3.586, 2.708, 2.166, 2.527, 2.525, 5.979, 3.217, 3.872",39.699993013873346,4.8103304056721345,"4.97, 4.80, 4.81, 4.78, 4.78, 4.81, 4.80, 4.82, 4.80, 4.81, 4.77, 4.81, 4.79, 4.81, 4.84, 4.80, 4.83, 4.76, 4.81, 4.80",4350.890625
llama3.2-3b-q3_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",1.4926371749897953,8.616592536549433,"6.373, 11.564, 14.063, 16.591, 4.710, 9.146, 12.141, 5.492, 5.862, 12.874, 7.305, 5.757, 12.079, 5.320, 8.425, 9.305, 5.898, 5.525, 6.081, 7.820",18.190019085574676,6.153393897957071,"6.25, 6.26, 6.25, 6.28, 6.22, 6.27, 6.23, 6.25, 6.23, 6.26, 6.20, 6.19, 6.02, 6.02, 6.02, 6.02, 6.01, 6.01, 6.03, 6.04",2953.421875
llama3.2-3b-q3_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,6.255518836400006,"5.504, 6.530, 5.955, 7.194, 8.641, 8.859, 8.704, 6.111, 7.842, 4.338, 5.217, 4.737, 5.502, 5.216, 3.504, 3.503, 7.441, 6.676, 7.841, 5.797",19.38042064196177,6.065313078608213,"6.23, 6.24, 6.23, 6.25, 6.25, 6.03, 6.00, 6.02, 6.01, 5.99, 6.01, 6.02, 5.98, 5.99, 6.01, 6.00, 6.01, 6.01, 6.01, 6.02",2983.34375
