Model,Dataset,Max_Tokens,Runs,Model_Load_Time (s),Cold_Start_TTFT (s),TTFT_Mean (s),TTFT_Std (s),Prefill_TPS_Mean,Prefill_TPS_Std,Decode_TPS_Mean,Decode_TPS_Std,Peak_Mem_Mean (MB),Peak_Mem_Std (MB)
gemma-3-1b-it-Q5_K_M.gguf,MMLU,128,3,1.69,0.3836,2.372,0.0007,55.626,0.0111,13.0443,0.0201,1760.5,9.1
gemma-3-1b-it-Q5_K_M.gguf,ARC,128,3,1.69,0.3836,1.6845,0.0001,59.0271,0.0022,13.1365,0.0046,1781.1,8.6
gemma-3-1b-it-Q5_K_M.gguf,HellaSwag,128,3,1.69,0.3836,2.4077,0.0001,56.0125,0.0039,13.1309,0.0011,1781.2,11.0
gemma-3-1b-it-Q5_K_M.gguf,TruthfulQA,128,3,1.69,0.3836,0.5124,0.0001,88.7759,0.0159,12.7804,0.0395,1780.2,9.8
gemma-3-1b-it-Q5_K_M.gguf,GSM8K,128,3,1.69,0.3836,1.8914,0.0002,57.7523,0.0057,12.869,0.0332,1792.1,9.3
gemma-3-1b-it-Q5_K_M.gguf,MMLU,256,3,1.69,0.3836,2.3706,0.0004,55.6619,0.0104,13.103,0.0438,1792.1,12.3
gemma-3-1b-it-Q5_K_M.gguf,ARC,256,3,1.69,0.3836,1.6846,0.0002,59.0241,0.0047,13.1397,0.003,1802.1,8.6
gemma-3-1b-it-Q5_K_M.gguf,HellaSwag,256,3,1.69,0.3836,2.4075,0.0002,56.0177,0.0073,13.1463,0.0007,1805.1,12.6
gemma-3-1b-it-Q5_K_M.gguf,TruthfulQA,256,3,1.69,0.3836,0.5098,0.0,89.2469,0.0045,13.1632,0.0145,1818.1,8.5
gemma-3-1b-it-Q5_K_M.gguf,GSM8K,256,3,1.69,0.3836,1.8886,0.0005,57.8451,0.0159,13.1283,0.0504,1818.1,11.2
gemma-3-1b-it-Q5_K_M.gguf,MMLU,512,3,1.69,0.3836,2.3703,0.0,55.669,0.0012,13.0959,0.0098,1818.1,14.7
gemma-3-1b-it-Q5_K_M.gguf,ARC,512,3,1.69,0.3836,1.6846,0.0001,59.0239,0.0022,13.1275,0.011,1828.1,9.3
gemma-3-1b-it-Q5_K_M.gguf,HellaSwag,512,3,1.69,0.3836,2.4079,0.0001,56.008,0.0038,13.1437,0.0036,1828.1,12.3
gemma-3-1b-it-Q5_K_M.gguf,TruthfulQA,512,3,1.69,0.3836,0.5109,0.0001,89.0568,0.0149,13.0282,0.006,1841.1,9.9
gemma-3-1b-it-Q5_K_M.gguf,GSM8K,512,3,1.69,0.3836,1.8895,0.0009,57.8144,0.0293,12.9906,0.0818,1841.1,12.6
gemma-3-1b-it-Q4_K_M.gguf,MMLU,128,3,1.76,0.3395,2.106,0.0004,62.6482,0.0112,13.8531,0.0169,1701.3,9.1
gemma-3-1b-it-Q4_K_M.gguf,ARC,128,3,1.76,0.3395,1.497,0.0001,66.4076,0.0037,13.7695,0.0117,1720.9,8.6
gemma-3-1b-it-Q4_K_M.gguf,HellaSwag,128,3,1.76,0.3395,2.139,0.0002,63.0436,0.0084,13.7394,0.0024,1732.9,1.4
gemma-3-1b-it-Q4_K_M.gguf,TruthfulQA,128,3,1.76,0.3395,0.4548,0.0001,100.0067,0.0106,13.8285,0.0076,1723.9,6.1
gemma-3-1b-it-Q4_K_M.gguf,GSM8K,128,3,1.76,0.3395,1.6777,0.0002,65.1108,0.0076,13.9428,0.0078,1732.9,9.3
gemma-3-1b-it-Q4_K_M.gguf,MMLU,256,3,1.76,0.3395,2.1056,0.0001,62.6606,0.003,13.7738,0.0031,1735.9,8.6
gemma-3-1b-it-Q4_K_M.gguf,ARC,256,3,1.76,0.3395,1.4969,0.0,66.4131,0.0016,13.7389,0.0051,1742.9,8.5
gemma-3-1b-it-Q4_K_M.gguf,HellaSwag,256,3,1.76,0.3395,2.1389,0.0001,63.0476,0.0043,13.7216,0.0068,1745.9,12.6
gemma-3-1b-it-Q4_K_M.gguf,TruthfulQA,256,3,1.76,0.3395,0.4548,0.0001,100.0091,0.0181,13.8127,0.0026,1758.9,8.5
gemma-3-1b-it-Q4_K_M.gguf,GSM8K,256,3,1.76,0.3395,1.6779,0.0001,65.1043,0.0049,13.8007,0.0112,1758.9,11.2
gemma-3-1b-it-Q4_K_M.gguf,MMLU,512,3,1.76,0.3395,2.106,0.0002,62.6492,0.0042,13.7293,0.0085,1758.9,14.7
gemma-3-1b-it-Q4_K_M.gguf,ARC,512,3,1.76,0.3395,1.4971,0.0001,66.4037,0.0036,13.7571,0.0067,1768.9,9.3
gemma-3-1b-it-Q4_K_M.gguf,HellaSwag,512,3,1.76,0.3395,2.1388,0.0003,63.0535,0.0098,13.7546,0.0121,1768.9,12.3
gemma-3-1b-it-Q4_K_M.gguf,TruthfulQA,512,3,1.76,0.3395,0.4548,0.0001,100.0195,0.0099,13.8528,0.0125,1781.9,9.9
gemma-3-1b-it-Q4_K_M.gguf,GSM8K,512,3,1.76,0.3395,1.6834,0.0006,64.8861,0.0247,13.2616,0.0464,1781.9,12.6
gemma-3-1b-it-Q3_K_M.gguf,MMLU,128,3,1.74,0.174,0.8581,0.0002,152.6714,0.038,14.6466,0.0189,1835.8,9.1
