Model,Dataset,Max_Tokens,Runs,Model_Load_Time (s),Cold_Start_TTFT (s),TTFT_Mean (s),TTFT_Std (s),Prefill_TPS_Mean,Prefill_TPS_Std,Decode_TPS_Mean,Decode_TPS_Std,Peak_Mem_Mean (MB),Peak_Mem_Std (MB)
Llama-3.2-3B-Instruct-Q3_K_M.gguf,MMLU,128,3,5.1,9.6352,7.2439,0.0007,19.261,0.0025,6.5321,0.0058,3026.8,4.7
Llama-3.2-3B-Instruct-Q3_K_M.gguf,ARC,128,3,5.1,9.6352,5.2192,0.0001,20.8708,0.0003,6.5425,0.0013,3039.2,5.5
Llama-3.2-3B-Instruct-Q3_K_M.gguf,HellaSwag,128,3,5.1,9.6352,7.4156,0.0167,19.1352,0.0424,6.4502,0.1147,3045.6,0.7
Llama-3.2-3B-Instruct-Q3_K_M.gguf,TruthfulQA,128,3,5.1,9.6352,1.7012,0.0003,33.9454,0.0057,6.3226,0.0052,3046.6,0.0
Llama-3.2-3B-Instruct-Q3_K_M.gguf,GSM8K,128,3,5.1,9.6352,5.7451,0.0003,20.252,0.001,6.3544,0.0052,3048.1,0.0
Llama-3.2-3B-Instruct-Q3_K_M.gguf,MMLU,256,3,5.1,9.6352,7.279,0.0002,19.167,0.0005,6.2762,0.0006,3049.6,0.0
Llama-3.2-3B-Instruct-Q3_K_M.gguf,ARC,256,3,5.1,9.6352,5.2471,0.0001,20.7577,0.0004,6.2744,0.0004,3050.5,0.7
Llama-3.2-3B-Instruct-Q3_K_M.gguf,HellaSwag,256,3,5.1,9.6352,7.4394,0.001,19.0744,0.0034,6.2948,0.011,3052.0,0.7
Llama-3.2-3B-Instruct-Q3_K_M.gguf,TruthfulQA,256,3,5.1,9.6352,1.7013,0.0003,33.941,0.0057,6.3078,0.0036,3053.0,0.7
Llama-3.2-3B-Instruct-Q3_K_M.gguf,GSM8K,256,3,5.1,9.6352,5.7449,0.0003,20.2529,0.001,6.2852,0.0012,3054.4,0.7
Llama-3.2-3B-Instruct-Q3_K_M.gguf,MMLU,512,3,5.1,9.6352,7.2796,0.0008,19.1661,0.0012,6.2906,0.0007,3055.4,0.0
Llama-3.2-3B-Instruct-Q3_K_M.gguf,ARC,512,3,5.1,9.6352,5.2496,0.0032,20.7459,0.0159,6.2828,0.0101,3056.9,0.0
Llama-3.2-3B-Instruct-Q3_K_M.gguf,HellaSwag,512,3,5.1,9.6352,7.4337,0.0095,19.0895,0.0257,6.3349,0.0601,3058.4,0.0
Llama-3.2-3B-Instruct-Q3_K_M.gguf,TruthfulQA,512,3,5.1,9.6352,1.6896,0.0004,34.1809,0.007,6.5559,0.0044,3059.8,0.0
Llama-3.2-3B-Instruct-Q3_K_M.gguf,GSM8K,512,3,5.1,9.6352,5.7162,0.0004,20.3551,0.0018,6.5091,0.0011,3060.8,0.7
Llama-3.2-3B-Instruct-Q4_K_M.gguf,MMLU,128,3,31.99,0.6573,3.6045,0.0008,38.5329,0.0059,5.0694,0.002,4351.9,4.9
Llama-3.2-3B-Instruct-Q4_K_M.gguf,ARC,128,3,31.99,0.6573,2.6307,0.0002,41.247,0.0023,5.0562,0.0072,4364.4,5.5
Llama-3.2-3B-Instruct-Q4_K_M.gguf,HellaSwag,128,3,31.99,0.6573,3.6857,0.0006,38.4635,0.0086,5.0525,0.0003,4370.6,0.4
Llama-3.2-3B-Instruct-Q4_K_M.gguf,TruthfulQA,128,3,31.99,0.6573,0.9317,0.0002,61.8965,0.0141,5.0778,0.0072,4371.1,0.0
Llama-3.2-3B-Instruct-Q4_K_M.gguf,GSM8K,128,3,31.99,0.6573,2.8794,0.0077,40.2864,0.1054,5.0536,0.0312,4369.4,2.2
Llama-3.2-3B-Instruct-Q4_K_M.gguf,MMLU,256,3,31.99,0.6573,3.6057,0.0005,38.5204,0.0044,5.0667,0.0019,4369.3,0.0
Llama-3.2-3B-Instruct-Q4_K_M.gguf,ARC,256,3,31.99,0.6573,2.6313,0.0001,41.2378,0.0015,5.0658,0.0007,4370.3,0.7
Llama-3.2-3B-Instruct-Q4_K_M.gguf,HellaSwag,256,3,31.99,0.6573,3.687,0.0007,38.4518,0.0105,5.068,0.0006,4371.8,0.7
Llama-3.2-3B-Instruct-Q4_K_M.gguf,TruthfulQA,256,3,31.99,0.6573,0.9551,0.0008,60.3639,0.0469,4.8835,0.0217,4372.8,0.7
Llama-3.2-3B-Instruct-Q4_K_M.gguf,GSM8K,256,3,31.99,0.6573,2.8743,0.0084,40.356,0.1189,5.0348,0.0317,4374.2,0.7
Llama-3.2-3B-Instruct-Q4_K_M.gguf,MMLU,512,3,31.99,0.6573,3.6035,0.001,38.5379,0.0118,5.0483,0.01,4375.2,0.0
Llama-3.2-3B-Instruct-Q4_K_M.gguf,ARC,512,3,31.99,0.6573,2.6304,0.0001,41.2528,0.0018,5.0413,0.0074,4376.6,0.0
Llama-3.2-3B-Instruct-Q4_K_M.gguf,HellaSwag,512,3,31.99,0.6573,3.6851,0.0007,38.4718,0.0104,5.0713,0.0002,4378.1,0.0
Llama-3.2-3B-Instruct-Q4_K_M.gguf,TruthfulQA,512,3,31.99,0.6573,0.9311,0.0004,61.927,0.022,5.0783,0.0065,4379.6,0.0
Llama-3.2-3B-Instruct-Q4_K_M.gguf,GSM8K,512,3,31.99,0.6573,2.8686,0.0002,40.4368,0.0032,5.0451,0.0026,4380.6,0.7
Llama-3.2-3B-Instruct-Q5_K_M.gguf,MMLU,128,3,39.61,2.3008,4.3352,0.0,32.0563,0.001,4.4696,0.0074,4880.1,5.4
Llama-3.2-3B-Instruct-Q5_K_M.gguf,ARC,128,3,39.61,2.3008,3.1581,0.0002,34.378,0.0023,4.4638,0.0014,4893.6,5.5
Llama-3.2-3B-Instruct-Q5_K_M.gguf,HellaSwag,128,3,39.61,2.3008,4.4467,0.0203,31.8872,0.1475,4.4404,0.0424,4900.1,0.7
Llama-3.2-3B-Instruct-Q5_K_M.gguf,TruthfulQA,128,3,39.61,2.3008,1.111,0.0032,51.9256,0.1468,4.4672,0.0174,4901.5,0.0
