Model,Dataset,Max_Tokens,Runs,Model_Load_Time (s),Cold_Start_TTFT (s),TTFT_Mean (s),TTFT_Std (s),Prefill_TPS_Mean,Prefill_TPS_Std,Decode_TPS_Mean,Decode_TPS_Std,Peak_Mem_Mean (MB),Peak_Mem_Std (MB)
Qwen3-1.7B-Q3_K_M.gguf,MMLU,128,3,12.95,0.5598,3.79,0.0011,32.6981,0.0083,11.3047,0.0151,1965.8,5.5
Qwen3-1.7B-Q3_K_M.gguf,ARC,128,3,12.95,0.5598,2.7003,0.0001,34.3956,0.0007,11.3379,0.0065,1980.4,6.4
Qwen3-1.7B-Q3_K_M.gguf,HellaSwag,128,3,12.95,0.5598,3.8087,0.0002,33.1145,0.0027,11.3178,0.0034,1988.4,1.6
Qwen3-1.7B-Q3_K_M.gguf,TruthfulQA,128,3,12.95,0.5598,0.8775,0.0002,48.2934,0.0096,11.3511,0.0035,1990.8,0.0
Qwen3-1.7B-Q3_K_M.gguf,GSM8K,128,3,12.95,0.5598,3.0267,0.0,33.866,0.0006,11.3786,0.0134,1990.8,0.0
Qwen3-1.7B-Q3_K_M.gguf,MMLU,256,3,12.95,0.5598,3.7947,0.0051,32.6558,0.0435,10.8769,0.1637,1992.5,0.0
Qwen3-1.7B-Q3_K_M.gguf,ARC,256,3,12.95,0.5598,2.7002,0.0001,34.3986,0.0012,11.2074,0.0038,1993.7,0.8
Qwen3-1.7B-Q3_K_M.gguf,HellaSwag,256,3,12.95,0.5598,3.8077,0.0003,33.1233,0.0035,11.216,0.0027,1995.4,0.8
Qwen3-1.7B-Q3_K_M.gguf,TruthfulQA,256,3,12.95,0.5598,0.8776,0.0002,48.2843,0.0111,11.2905,0.0078,1996.6,0.8
Qwen3-1.7B-Q3_K_M.gguf,GSM8K,256,3,12.95,0.5598,3.0277,0.0004,33.8551,0.0042,11.0884,0.0291,1998.9,1.6
Qwen3-1.7B-Q3_K_M.gguf,MMLU,512,3,12.95,0.5598,3.7906,0.0002,32.6923,0.0023,10.7063,0.0088,2001.2,0.0
Qwen3-1.7B-Q3_K_M.gguf,ARC,512,3,12.95,0.5598,2.7006,0.0002,34.3919,0.003,11.0234,0.0045,2002.9,0.0
Qwen3-1.7B-Q3_K_M.gguf,HellaSwag,512,3,12.95,0.5598,3.8088,0.0004,33.1135,0.0044,11.0923,0.0203,2004.7,0.0
Qwen3-1.7B-Q3_K_M.gguf,TruthfulQA,512,3,12.95,0.5598,0.8776,0.0002,48.2855,0.0074,11.1915,0.0011,2006.4,0.0
Qwen3-1.7B-Q3_K_M.gguf,GSM8K,512,3,12.95,0.5598,3.0297,0.0027,33.8315,0.0299,10.6337,0.1223,2007.6,0.8
