Model,Dataset,Max_Tokens,Runs,Model_Load_Time (s),Cold_Start_TTFT (s),TTFT_Mean (s),TTFT_Std (s),Prefill_TPS_Mean,Prefill_TPS_Std,Decode_TPS_Mean,Decode_TPS_Std,Peak_Mem_Mean (MB),Peak_Mem_Std (MB)
Qwen3-1.7B-Q4_K_M.gguf,MMLU,128,3,16.77,0.3138,1.8405,0.0002,67.1333,0.0076,9.8588,0.0083,2640.1,5.5
Qwen3-1.7B-Q4_K_M.gguf,ARC,128,3,16.77,0.3138,1.3212,0.0002,70.0927,0.011,9.8963,0.0158,2654.8,6.5
Qwen3-1.7B-Q4_K_M.gguf,HellaSwag,128,3,16.77,0.3138,1.86,0.0046,67.7377,0.1605,9.5962,0.0979,2662.3,0.8
Qwen3-1.7B-Q4_K_M.gguf,TruthfulQA,128,3,16.77,0.3138,0.4637,0.0002,91.0702,0.031,9.5525,0.0092,2663.5,0.0
Qwen3-1.7B-Q4_K_M.gguf,GSM8K,128,3,16.77,0.3138,1.4855,0.006,68.8439,0.2838,9.6494,0.1676,2666.9,0.0
Qwen3-1.7B-Q4_K_M.gguf,MMLU,256,3,16.77,0.3138,1.8462,0.0069,66.9075,0.2525,9.4842,0.1475,2666.9,0.0
Qwen3-1.7B-Q4_K_M.gguf,ARC,256,3,16.77,0.3138,1.3336,0.0003,69.4247,0.011,9.3508,0.0125,2668.1,0.8
Qwen3-1.7B-Q4_K_M.gguf,HellaSwag,256,3,16.77,0.3138,1.8581,0.0069,67.8156,0.2579,9.4264,0.1531,2669.8,0.8
Qwen3-1.7B-Q4_K_M.gguf,TruthfulQA,256,3,16.77,0.3138,0.4578,0.0008,92.2808,0.1669,9.7467,0.0438,2671.6,1.6
Qwen3-1.7B-Q4_K_M.gguf,GSM8K,256,3,16.77,0.3138,1.4775,0.0007,69.2155,0.0401,9.6789,0.0089,2674.5,0.8
