Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Dataset Peak Memory (MB)
Qwen3-1.7B-Q5_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",16.503673156999866,2.6099736139507512,"1.982, 3.173, 5.819, 4.784, 1.345, 2.628, 3.806, 1.912, 1.656, 3.563, 2.727, 1.687, 3.495, 1.498, 2.396, 2.539, 1.655, 1.551, 1.761, 2.224",54.92715064088429,7.685724351538542,"7.70, 7.53, 7.57, 7.36, 7.74, 7.70, 7.66, 7.74, 7.74, 7.67, 7.71, 7.70, 7.67, 7.77, 7.76, 7.73, 7.75, 7.75, 7.75, 7.72",1991.94140625
Qwen3-1.7B-Q5_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,1.802115757700085,"1.641, 1.868, 1.708, 2.015, 2.706, 2.490, 2.442, 1.781, 2.157, 1.286, 1.510, 1.358, 1.672, 1.517, 0.980, 1.118, 2.110, 1.842, 2.164, 1.679",58.57713936040532,7.744922830563797,"7.71, 7.75, 7.75, 7.76, 7.72, 7.72, 7.72, 7.73, 7.73, 7.74, 7.74, 7.76, 7.77, 7.76, 7.76, 7.76, 7.75, 7.77, 7.76, 7.75",2029.8984375
Qwen3-1.7B-Q5_K_M.gguf,GSM8K,2021,101.05,"104, 66, 97, 75, 151, 96, 82, 109, 144, 100, 100, 104, 107, 97, 92, 134, 93, 97, 68, 105",-,1.7152734678000343,"1.772, 1.048, 1.639, 1.150, 2.961, 1.596, 1.371, 1.889, 2.523, 1.664, 1.669, 1.742, 1.772, 1.630, 1.500, 2.378, 1.540, 1.649, 1.027, 1.788",59.668288139308196,7.730448310245427,"7.75, 7.76, 7.76, 7.77, 7.74, 7.77, 7.75, 7.71, 7.72, 7.72, 7.71, 7.71, 7.71, 7.73, 7.73, 7.72, 7.70, 7.72, 7.71, 7.72",2040.04296875
Qwen3-1.7B-Q5_K_M.gguf,HumanEval,2529,126.45,"149, 140, 110, 144, 142, 117, 137, 118, 137, 125, 167, 107, 127, 97, 84, 93, 95, 197, 113, 130",-,2.047261983400131,"2.634, 2.207, 1.782, 2.391, 2.307, 1.789, 2.167, 1.826, 2.159, 1.858, 2.925, 1.778, 2.013, 1.504, 1.230, 1.433, 1.430, 3.453, 1.828, 2.232",62.455091308783025,7.717519087594852,"7.70, 7.74, 7.74, 7.72, 7.76, 7.75, 7.70, 7.74, 7.74, 7.72, 7.68, 7.72, 7.72, 7.72, 7.73, 7.72, 7.72, 7.61, 7.70, 7.72",2049.875
Qwen3-1.7B-Q4_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",0.3182181580014003,1.810234478500206,"1.334, 2.365, 2.997, 3.531, 1.004, 1.956, 2.477, 1.159, 1.234, 2.640, 1.528, 1.233, 2.566, 1.127, 1.782, 1.926, 1.241, 1.163, 1.310, 1.632",77.52455446932842,11.196685855482702,"11.15, 10.95, 10.88, 10.87, 11.28, 11.30, 11.16, 11.34, 11.34, 11.10, 11.32, 11.32, 11.10, 11.25, 11.27, 11.25, 11.25, 11.27, 11.28, 11.26",2548.57421875
Qwen3-1.7B-Q4_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,1.3256494693492642,"1.215, 1.383, 1.262, 1.511, 1.803, 1.842, 1.797, 1.284, 1.620, 0.936, 1.113, 1.006, 1.244, 1.104, 0.752, 0.838, 1.563, 1.397, 1.616, 1.228",79.36911762947815,11.202591032011908,"11.30, 11.29, 11.25, 11.29, 11.32, 11.20, 11.17, 11.19, 11.20, 11.20, 11.15, 11.18, 11.21, 11.18, 11.15, 11.15, 11.16, 11.16, 11.17, 11.13",2582.2421875
Qwen3-1.7B-Q4_K_M.gguf,GSM8K,2021,101.05,"104, 66, 97, 75, 151, 96, 82, 109, 144, 100, 100, 104, 107, 97, 92, 134, 93, 97, 68, 105",-,1.260769513899504,"1.314, 0.759, 1.206, 0.868, 1.976, 1.181, 0.994, 1.409, 1.881, 1.245, 1.241, 1.299, 1.343, 1.206, 1.125, 1.738, 1.137, 1.204, 0.765, 1.321",80.8738243609091,11.228471180948493,"11.21, 11.17, 11.18, 11.15, 11.12, 11.19, 11.22, 11.25, 11.25, 11.24, 11.26, 11.27, 11.23, 11.25, 11.23, 11.28, 11.26, 11.27, 11.25, 11.26",2587.3984375
Qwen3-1.7B-Q4_K_M.gguf,HumanEval,2529,126.45,"149, 140, 110, 144, 142, 117, 137, 118, 137, 125, 167, 107, 127, 97, 84, 93, 95, 197, 113, 130",-,1.514825369600112,"1.979, 1.638, 1.327, 1.791, 1.682, 1.320, 1.605, 1.344, 1.617, 1.382, 2.137, 1.287, 1.488, 1.113, 0.923, 1.062, 1.058, 2.582, 1.357, 1.606",84.41116213481884,11.235159089822458,"11.25, 11.27, 11.27, 11.20, 11.21, 11.18, 11.24, 11.26, 11.27, 11.27, 11.19, 11.28, 11.29, 11.24, 11.25, 11.24, 11.22, 11.05, 11.23, 11.29",2591.3046875
Qwen3-1.7B-Q3_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",12.620037548000255,4.326249571149492,"3.177, 5.727, 7.278, 8.542, 2.363, 4.662, 6.020, 2.753, 2.932, 6.371, 3.652, 2.872, 6.127, 2.649, 4.252, 4.596, 2.933, 2.754, 3.011, 3.855",32.586385398600555,8.67724522087639,"8.74, 8.59, 8.53, 8.50, 8.77, 8.75, 8.64, 8.69, 8.76, 8.56, 8.73, 8.72, 8.59, 8.70, 8.70, 8.69, 8.68, 8.74, 8.73, 8.74",1841.76953125
Qwen3-1.7B-Q3_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,3.12407780895046,"2.729, 3.250, 2.969, 3.606, 4.281, 4.382, 4.278, 3.037, 3.886, 2.165, 2.575, 2.360, 2.937, 2.586, 1.750, 1.938, 3.689, 3.320, 3.879, 2.864",33.77413947626313,8.51225115847668,"8.73, 7.93, 8.58, 8.73, 8.73, 8.72, 8.22, 8.72, 8.72, 8.71, 7.47, 8.69, 8.69, 8.68, 8.69, 8.23, 8.04, 8.70, 8.64, 8.62",1877.5078125
