Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Dataset Peak Memory (MB)
Qwen3-1.7B-Q5_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",0.45697729899256956,2.665933909897285,"1.932, 3.457, 4.415, 5.240, 1.460, 2.872, 3.643, 1.684, 1.814, 3.929, 2.252, 1.824, 3.828, 1.653, 2.642, 2.816, 1.822, 1.689, 1.917, 2.428",52.75061488681191,6.845472423403865,"7.11, 6.99, 6.93, 6.88, 7.10, 6.81, 6.73, 6.82, 6.81, 6.71, 6.79, 6.82, 6.72, 6.84, 6.78, 6.77, 6.83, 6.84, 6.83, 6.80",2850.578125
Qwen3-1.7B-Q5_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,1.954209040198475,"1.760, 2.041, 1.868, 2.208, 2.685, 2.724, 2.689, 1.870, 2.376, 1.398, 1.661, 1.477, 1.824, 1.660, 1.086, 1.225, 2.301, 2.029, 2.374, 1.828",53.88254299798096,6.839161557717949,"6.90, 6.81, 6.82, 6.80, 6.78, 6.77, 6.78, 6.85, 6.81, 6.88, 6.85, 6.87, 6.85, 6.86, 6.89, 6.91, 6.83, 6.84, 6.83, 6.86",2885.984375
Qwen3-1.7B-Q5_K_M.gguf,GSM8K,2021,101.05,"104, 66, 97, 75, 151, 96, 82, 109, 144, 100, 100, 104, 107, 97, 92, 134, 93, 97, 68, 105",-,1.8555389211018336,"1.910, 1.141, 1.783, 1.258, 2.889, 1.735, 1.490, 2.039, 2.768, 1.823, 1.820, 1.913, 1.948, 1.781, 1.652, 2.590, 1.700, 1.780, 1.133, 1.957",54.9132188858312,6.8312102376653225,"6.87, 6.90, 6.87, 6.90, 6.80, 6.86, 6.87, 6.84, 6.80, 6.82, 6.81, 6.81, 6.80, 6.81, 6.82, 6.77, 6.82, 6.81, 6.85, 6.80",2908.59375
Qwen3-1.7B-Q5_K_M.gguf,HumanEval,2529,126.45,"149, 140, 110, 144, 142, 117, 137, 118, 137, 125, 167, 107, 127, 97, 84, 93, 95, 197, 113, 130",-,2.2425302462499532,"2.941, 2.416, 1.957, 2.630, 2.515, 1.961, 2.387, 2.005, 2.382, 2.028, 3.201, 1.909, 2.206, 1.656, 1.345, 1.571, 1.570, 3.793, 1.991, 2.386",57.040370739626916,6.789324198810812,"6.77, 6.76, 6.80, 6.76, 6.76, 6.79, 6.76, 6.79, 6.76, 6.78, 6.76, 6.81, 6.80, 6.84, 6.88, 6.84, 6.84, 6.72, 6.82, 6.77",2908.59375
Qwen3-1.7B-Q4_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",0.37860070599708706,2.244943788200908,"1.637, 2.982, 3.741, 4.412, 1.232, 2.417, 3.105, 1.426, 1.528, 3.304, 1.897, 1.505, 3.190, 1.382, 2.215, 2.379, 1.528, 1.427, 1.580, 2.014",62.72008441616915,8.315858064983205,"8.67, 8.52, 8.15, 8.05, 8.39, 8.25, 8.19, 8.37, 8.35, 8.16, 8.32, 8.37, 8.18, 8.38, 8.28, 8.27, 8.36, 8.38, 8.36, 8.31",2565.0
Qwen3-1.7B-Q4_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,1.6309204848497756,"1.455, 1.690, 1.549, 1.856, 2.233, 2.279, 2.234, 1.580, 2.009, 1.139, 1.364, 1.235, 1.529, 1.366, 0.914, 1.020, 1.925, 1.716, 2.019, 1.507",64.617205766276,8.359598109216314,"8.55, 8.36, 8.37, 8.30, 8.26, 8.25, 8.25, 8.32, 8.27, 8.38, 8.40, 8.42, 8.38, 8.40, 8.45, 8.44, 8.34, 8.36, 8.33, 8.38",2600.359375
Qwen3-1.7B-Q4_K_M.gguf,GSM8K,2021,101.05,"104, 66, 97, 75, 151, 96, 82, 109, 144, 100, 100, 104, 107, 97, 92, 134, 93, 97, 68, 105",-,1.5511009666501194,"1.629, 0.922, 1.477, 1.060, 2.449, 1.454, 1.220, 1.702, 2.332, 1.528, 1.528, 1.600, 1.644, 1.480, 1.383, 2.154, 1.409, 1.481, 0.941, 1.629",65.79929847137159,8.3849481483391,"8.63, 8.46, 8.39, 8.43, 8.28, 8.39, 8.42, 8.36, 8.29, 8.38, 8.37, 8.36, 8.35, 8.37, 8.38, 8.29, 8.38, 8.37, 8.43, 8.35",2622.96875
Qwen3-1.7B-Q4_K_M.gguf,HumanEval,2529,126.45,"149, 140, 110, 144, 142, 117, 137, 118, 137, 125, 167, 107, 127, 97, 84, 93, 95, 197, 113, 130",-,1.8741258977010147,"2.460, 2.014, 1.618, 2.223, 2.074, 1.627, 1.983, 1.652, 2.010, 1.721, 2.664, 1.580, 1.847, 1.385, 1.133, 1.316, 1.317, 3.192, 1.668, 1.999",68.25948459365146,8.309096214857751,"8.52, 8.30, 8.35, 8.29, 8.28, 8.33, 8.26, 8.33, 8.27, 8.27, 8.19, 8.32, 8.27, 8.34, 8.37, 8.34, 8.34, 8.14, 8.36, 8.33",2622.96875
Qwen3-1.7B-Q3_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",0.7080341139953816,4.460891105950577,"3.266, 5.910, 7.532, 8.837, 2.422, 4.821, 6.217, 2.824, 3.013, 6.588, 3.748, 2.938, 6.346, 2.720, 4.376, 4.745, 3.018, 2.822, 3.096, 3.979",31.648182603758187,10.274137545544638,"10.67, 10.47, 10.05, 9.97, 10.37, 10.19, 10.11, 10.36, 10.34, 10.12, 10.30, 10.36, 10.12, 10.36, 10.25, 10.20, 10.32, 10.34, 10.32, 10.25",1890.53125
Qwen3-1.7B-Q3_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,3.213670893100789,"2.825, 3.336, 3.055, 3.708, 4.416, 4.521, 4.415, 3.127, 4.012, 2.204, 2.649, 2.423, 3.015, 2.649, 1.788, 1.983, 3.790, 3.408, 4.009, 2.938",32.85943042291676,10.114540306778693,"10.40, 10.30, 8.43, 10.29, 10.23, 10.22, 9.79, 10.31, 10.25, 9.24, 10.35, 10.36, 10.32, 10.35, 10.40, 10.19, 9.76, 10.30, 10.48, 10.33",1925.890625
